Prevotella	Peptoniphilus	Anaerococcus	Porphyromonas	Bacteroides	Finegoldia	Lactobacillus	Dialister	Faecalibacterium	Streptococcus	Campylobacter	Sneathia	Gardnerella	Corynebacterium	Bifidobacterium	Coprococcus	Mobiluncus	Collinsella	Blautia	Clostridium	Ruminococcus	Atopobium	Roseburia	Lachnospira	Sutterella	Dorea	Peptostreptococcus	Phascolarctobacterium	Fusobacterium	Actinomyces	Oscillospira	Parabacteroides	Moryella	Gallicola	Megamonas	Delftia	Citrobacter	Pseudomonas	Bilophila	Parvimonas	Megasphaera	Paraprevotella	Desulfovibrio	Akkermansia	Peptococcus	Bulleidia	Odoribacter	Staphylococcus	Butyricimonas	Arcanobacterium	Haemophilus	Varibaculum	Granulicatella	Neisseria	Veillonella	Anaerostipes	Rothia	Shuttleworthia	Mogibacterium	Acidaminococcus	Aerococcus	Eggerthella	Slackia	Coprobacillus	Facklamia	Aggregatibacter	Alloscardovia	Lachnobacterium	Acinetobacter	Gemella	Capnocytophaga	Catenibacterium	Leptotrichia	Arthrobacter	Adlercreutzia	Aeromonas	Ureaplasma	Mitsuokella	Turicibacter	Lautropia	Lactococcus	Nitrospira	Vibrio	Escherichia	Bacillus	Anaerotruncus	Synechococcus	Streptomyces
Prevotella	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Peptoniphilus	0.0921118573466566	0	0.0249544325374922	1	1	0.0909285346810153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Anaerococcus	0.00393635926997501	6.77925360975066e-06	0	1	1	5.06899821241289e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00562512352583609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Porphyromonas	0.109119092101309	0.230037737105479	0.746154363749455	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0027559226617021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bacteroides	0.711135953821588	0.000355382972333359	0.000733028835497623	0.18954618602163	0	1	1	1	1	1	1	1	1	1	1	0.00144383156313089	1	1	1	1	1	1	1	0.000236238677413753	0.00115934628949222	0.0456946191189565	1	0.0021526206693146	1	1	3.04838063475052e-07	1.44376812667934e-08	1	1	1	1	1	1	0.000179553837680528	1	1	1	1	0.0205592433338781	1	1	3.33025254297891e-06	1	8.27881620811784e-05	1	1	1	1	1	1	1	0.0264936223589239	0.924771580681832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Finegoldia	0.00141332309702079	2.48574452381124e-05	1.34491860239132e-09	0.460859710353427	0.0295779278545119	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.89606102473969e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lactobacillus	0.0512924218719645	0.216493516674423	0.574534174264778	0.550399753584799	0.286411466783048	0.597855758218607	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dialister	0.00425311435200962	0.107162406898808	0.87327826565455	0.560086086286303	0.0373317433420636	0.629892823877713	0.188947878937748	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Faecalibacterium	0.225219370234322	0.00159916617192916	0.0301809136029952	0.199572555928922	0.00157518636245128	0.0814832948341955	0.419616401941848	0.0152091430382979	0	1	1	1	1	1	2.39975360275328e-11	0.00482353171743462	1	0.00161300293428605	1.21583591675775e-09	1	4.60063054936251e-07	1	0.13837507373033	1	1	1.54868501767629e-05	1	0.105602734087748	1	1	0.000449300965808078	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00013821764778878	1	1	1	1	1	1	1	1	1	1	1	0.20298297883076	1	1	1	1	1	1	9.19429717432023e-09	1	1	1	1	1	1	1	1	1	1	1	1	1
Streptococcus	0.075820101032609	0.0860520772838605	0.202026453504563	0.055838134705968	0.550619687130455	0.574348740645048	0.400708409680648	0.885596660614647	0.463300699000159	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.118348501170117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
