	RDA1	RDA2	RDA3	RDA4
C_sw_41	-0.247503164535954	0.0367257997873629	-0.143276670022393	0.0259671633747233
C_mw_42	-0.291381834688655	-0.00942591435694744	-0.182038855820709	0.044668434492341
C_sw_44	-0.286949266203943	0.056326322837923	-0.117879770608033	0.0830809110913263
M_mw_45	-0.222204846639306	-0.00516591927939308	-0.125265338438924	0.0102740887500781
C_sw_47	-0.317538532904336	0.0521403018880249	-0.0105634070533173	0.0140589583657478
M_mw_48	-0.209468429986851	-0.0688344015539769	-0.0775706144689728	-0.0296806722118516
M_bw_49	-0.1425952510575	-0.187565956918715	0.0506243123578964	0.170542308864016
M_sw_50	-0.222042252706857	0.0104376803945475	0.103996681453445	0.00441629369589912
M_mw_51	-0.201455280213617	-0.255027815529999	0.0688457661233672	-0.194565679780282
M_mw_54	-0.263009642295414	0.0454524027995825	0.100597666057775	-0.0371744487880492
M_bw_55	-0.0311385508983207	-0.0826534363825626	0.093556058336721	0.134264541027458
M_sw_56	-0.268577934339776	0.0362252456893391	0.15244474881465	-0.0341901478914445
M_sw_59	-0.201093117653957	0.0569186602172349	-0.0430443824139267	-0.00901090196975927
M_mw_60	-0.190429149237524	0.0499704125394926	-0.0912802524128258	0.00244375529738374
M_bw_64	-0.0376557633750894	-0.188918675580847	0.0135989840085975	0.07088058893669
M_mw_66	-0.170974296780319	-0.0722025482554166	-0.0856782474594474	-0.077714310226315
M_mw_69	-0.17613618522941	-0.0598232394524102	-0.100441072412375	-0.0571219967344976
M_bw_70	-0.132176156501641	-0.190858433307151	-0.0895510306012911	-0.0610086069502207
T_sw_71	-0.0257954011334389	0.0467247974355781	-0.0681686766934971	-0.052252882706792
M_mw_72	0.115396124567677	0.0014082112995446	-0.0242831483186175	-0.062868726082456
KS_bw_73	0.00135286320923593	-0.066174305826752	-0.00332403561523095	-0.0486049045042285
M_sw_74	-0.0717750360299486	0.0450523186392082	0.107985005407577	0.00170707109363087
M_mw_75	-0.132396725016762	-0.0522542976884375	-0.0978797165014537	0.0801824381374765
M_bw_76	-0.0238189753863353	-0.182112308598165	0.0591143119526159	0.1900460734789
M_sw_77	-0.0023355983900661	0.0454936367747053	0.061119978585684	0.00214594337615571
M_mw_78	0.144203249574253	-0.00312373623679188	-0.00685568561975062	-0.0382180203747835
T_sw_80	-0.102430326161125	0.0828401208037706	0.14893562519852	-0.0296036373446925
T_mw_81	0.12171494997274	0.0394944154937311	0.00208299003910413	-0.0313017950768562
T_sw_83	0.0706737334710927	0.0516302950693868	0.0642598223828254	-0.0134490374414505
T_mw_84	0.114486413906158	0.0386247942413486	0.0018447429370101	-0.0192052139681277
M_bw_85	0.112618486481417	0.0276001155238898	-0.0036460828676385	-0.0265822368940603
T_mw_87	0.0576440280017438	0.00236237042509586	0.0315767196763773	-0.0508505229819042
KS_bw_88	-0.0507325790583988	-0.184153341592403	0.0409910738419283	-0.0834240505340853
T_sw_89	-0.015305448270212	-0.0113696967360336	0.0358244298481684	-0.0326333574766301
T_mw_90	0.0940515091256009	-0.0193773362967655	0.0192214277760969	-0.0555147516442389
KS_bw_91	0.123515380994833	0.0208050691973927	-0.00367099985991535	-0.030037142459418
C_mw_93	-0.0610020952359217	-0.102682022834612	-0.010897148919553	-0.028068027866719
M_bw_94	0.13561523136571	0.0133773926978613	-0.026089458114573	-0.0236877645848656
M_sw_95	-0.0852461045756337	-0.00964111864422935	0.10185005168834	-0.0140873667198576
M_mw_96	0.0832450823806254	0.0151093109211224	-0.0116593299027169	-0.0157708746524565
KS_bw_97	-0.0620379469714873	0.0104339743231637	-0.00890507441092987	0.089276850420352
M_bw_100	0.124844307941172	0.0412572259040063	0.00235662596146705	-0.00724370912579186
T_sw_101	-0.0653711386503698	0.0471332458121356	0.0917804548251309	0.0758103895920181
KS_bw_103	0.120717097077869	-0.0593842041787229	-0.0385687291578429	-0.0636306674841007
T_mw_105	0.132235332518303	0.0369642510643563	0.00597120052327834	-0.0225074293762334
KS_bw_106	0.138668285246506	0.0266809043974438	-0.0208103355353777	-0.022248791234838
M_sw_107	0.12753349595077	0.0515179077017017	0.00502229112041084	0.00601769658351304
M_mw_108	0.0968499495874703	0.0383035042371087	-0.0317607956481833	0.0468270799284599
M_bw_109	0.131841563874916	0.0186853943016497	-0.0348977852943635	0.00737454120992775
T_mw_111	0.0949923823218255	0.048785658958404	-0.0393231016895271	-0.00957557236526142
KS_bw_112	0.147974339904271	0.0245415234592351	-0.0261557212280806	-0.0119287565159131
T_mw_114	0.0957684974921066	0.0459191189580532	-0.00977358234188518	-0.0052633692126312
KS_bw_115	0.132667907812509	0.0361614407360633	-0.0339163896874968	-0.0014802491841169
KS_bw_118	0.142194600912574	0.0389242903218334	-0.0134006629491574	-0.00584652128687221
C_mw_120	0.0553040296905845	0.0185542673316097	-0.0679332875813631	0.0648661905640823
M_mw_123	0.108757091009415	0.0511439274532258	0.010906077281496	-0.00351625394915681
M_bw_124	0.122120089615437	0.0324355898020089	0.00583916248533443	-0.000881588958655297
M_sw_125	0.0399788990586636	0.0722909862439385	0.0786024302153826	0.0407701126514936
M_mw_126	0.114192556803553	0.0446801138852323	0.028635654515118	-0.00435545821236608
KS_bw_127	-0.0558188493626845	-0.176797484077174	-0.0316033542363678	-0.0344562345116871
KS_mw_129	0.0904857401459214	0.036829911393048	0.0090460302362856	-0.0135766253810042
KS_bw_130	0.143974270421035	0.0131490537188753	-0.0161480106942393	-0.0204668390149377
M_sw_131	0.0325103317159391	0.0505921973660299	0.0521206712598846	0.047137198724498
M_mw_132	-0.0217759560805526	0.0400530306910347	-0.0258498175461378	0.102421128286645
M_sw_134	0.105285740225198	0.0584556222620001	0.044647203309088	0.0129734473234416
M_mw_135	0.0889102856141954	0.00509946602886715	0.00891164278908975	-0.00675987993105681
T_bw_136	0.142569660349537	0.0213783746505624	-0.0134764841442854	-0.00659438436526732
T_bw_139	0.0533890314603132	0.0404301175847846	0.0180789970430961	0.0372704997586453
KS_mw_141	0.0667898765496055	0.0263241721296755	-0.0138906227252859	0.0212144865681988
KS_bw_142	0.119593075325126	0.0416434497230709	0.0109350961624113	0.00880423306523466
T_sw_143	0.0831920543555953	0.0381326895156696	0.0362829799033817	-0.00233970138002817
KS_mw_144	-0.0158489676710232	-0.00846916585623388	-0.0407182759676345	0.063818550460218
KS_bw_145	0.0551804904238491	0.0341914570479419	0.0271565129975736	0.0113176946132154
T_sw_146	0.0909705091660939	0.0594811187358924	0.0596587568525618	-0.0139662635151129
