OTUs	C_sw_41	C_mw_42	C_sw_44	M_mw_45	C_sw_47	M_mw_48	M_bw_49	M_sw_50	M_mw_51	M_sw_53	M_mw_54	M_bw_55	M_sw_56	M_mw_57	M_bw_58	M_sw_59	M_mw_60	M_sw_62	M_mw_63	M_bw_64	M_sw_65	M_mw_66	M_bw_67	M_sw_68	M_mw_69	M_bw_70	T_sw_71	M_mw_72	KS_bw_73	M_sw_74	M_mw_75	M_bw_76	M_sw_77	M_mw_78	T_sw_80	T_mw_81	T_sw_83	T_mw_84	M_bw_85	T_sw_86	T_mw_87	KS_bw_88	T_sw_89	T_mw_90	KS_bw_91	C_sw_92	C_mw_93	M_bw_94	M_sw_95	M_mw_96	KS_bw_97	T_sw_98	T_mw_99	M_bw_100	T_sw_101	T_mw_102	KS_bw_103	T_sw_104	T_mw_105	KS_bw_106	M_sw_107	M_mw_108	M_bw_109	T_sw_110	T_mw_111	KS_bw_112	T_sw_113	T_mw_114	KS_bw_115	T_sw_116	KS_mw_117	KS_bw_118	C_sw_119	C_mw_120	M_sw_122	M_mw_123	M_bw_124	M_sw_125	M_mw_126	KS_bw_127	T_sw_128	KS_mw_129	KS_bw_130	M_sw_131	M_mw_132	M_sw_134	M_mw_135	T_bw_136	M_sw_137	M_mw_138	T_bw_139	T_sw_140	KS_mw_141	KS_bw_142	T_sw_143	KS_mw_144	KS_bw_145	T_sw_146	KS_mw_147	KS_bw_148
OTU_18790	29	83	74	201	19	35	3	5	2	3	5	19	3	10	12	7	86	0	5	0	1	19	99	23	23	17	1	11	52	61	5	144	59	21	32	16	16	87	13	1	13	116	26	40	40	77	93	3	43	115	764	234	280	358	385	123	542	130	107	166	208	3686	45	5	743	84	110	247	394	186	212	273	208	1117	62	212	160	85	44	283	38	41	59	60	2527	29	578	58	55	104	407	36	55	187	24	504	142	27	49	71
OTU_34752	135	31	108	84	69	43	106	136	0	26	21	78	38	34	0	89	90	0	52	161	64	13	8	55	62	29	39	17	240	629	12	41	166	71	187	49	156	129	57	76	91	0	166	90	77	178	168	12	177	57	1890	122	77	114	1199	102	0	111	48	105	160	219	93	14	57	36	0	57	82	100	130	80	146	244	0	42	41	573	66	80	42	29	26	81	68	69	25	11	69	14	52	15	24	59	38	90	3395	0	107	102
OTU_24739	103	105	87	265	54	59	0	27	0	19	29	107	10	38	77	261	354	0	110	49	71	135	23	37	293	49	698	332	269	162	9	233	188	111	164	634	216	492	1029	9	129	51	144	148	898	36	86	996	65	285	37	13	19	97	14	33	306	16	59	392	265	100	1467	9	235	567	36	45	1117	8	31	369	82	128	0	175	310	74	57	35	12	137	311	71	91	271	36	544	10	22	122	5	54	117	86	45	353	39	126	133
OTU_18825	94	44	228	48	65	28	35	45	0	78	32	1114	23	286	87	54	78	5	38	4	100	73	914	112	40	42	52	7	6	32	4	6	124	3	13	15	8	15	3	0	4	51	77	25	2	153	33	1	71	4	38	1163	25	62	281	2	4	32	9	7	25	4	1	0	6	17	8	11	9	63	16	49	117	6	4046	258	411	982	185	189	169	137	118	375	362	312	172	238	232	159	295	241	194	378	309	241	123	667	70	34
OTU_30438	32	16	92	34	23	35	11	94	5	206	111	4801	63	1452	0	68	229	0	45	12	98	32	96	104	82	7	40	32	40	77	4	156	395	1	64	97	26	48	43	3	13	12	51	37	15	79	56	8	48	42	63	545	48	181	216	24	0	63	18	15	87	19	4	7	13	15	0	23	20	53	36	46	95	18	0	194	514	564	134	109	135	125	78	356	351	1410	64	86	130	74	233	145	129	169	154	235	140	491	89	218
OTU_27707	0	0	0	0	0	0	4	1	1	0	0	1	1	0	0	0	0	1	0	27	0	0	7	0	0	9	0	0	0	13	92	0	0	4	0	0	0	0	0	0	2	1	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21915	8	4	22	4	6	5	0	22	0	2	40	0	11	16	91	15	2	45	0	0	0	1	89	4	1	14	1	0	9	44	43	3	9	82	17	10	7	0	65	0	0	0	1	0	0	10	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	22	61	97	25
OTU_27519	70	24	55	78	29	15	134	72	14	31	43	107	63	71	0	165	218	6	86	668	60	31	17	43	76	13	36	11	351	797	66	166	335	15	414	84	375	289	77	46	144	89	226	104	122	377	385	24	219	113	506	74	32	88	308	56	0	114	39	58	102	133	9	5	34	32	0	38	45	55	80	69	65	105	0	21	54	191	50	64	69	26	28	60	61	75	35	16	128	24	73	25	39	43	22	43	705	52	40	46
OTU_17460	3	3	1	11	300	22	8	24	677	6	61	982	11	66	41	9	13	59	50	341	30	28	726	9	61	799	662	21	469	177	19	16	93	33	62	41	47	38	46	26	90	291	235	176	52	79	489	23	2345	116	110	50	25	116	19	24	208	30	52	49	68	38	6	62	264	83	20	44	101	15	94	20	65	28	89	58	213	39	47	522	49	131	92	115	106	289	775	248	45	51	324	14	134	39	47	58	151	42	21	114
OTU_25109	2	2	8	6	0	5	0	14068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31319	67	30	118	94	24	32	0	144	2	27	22	93	39	30	0	50	96	2	37	0	64	26	142	54	73	104	37	25	50	122	7	0	44	8	74	15	27	30	8	8	22	0	57	27	7	91	122	6	59	56	808	46	73	179	93	15	0	151	59	35	181	83	6	0	110	37	0	48	122	55	50	89	145	25	0	146	194	224	49	75	90	297	50	740	227	160	184	76	126	124	540	172	97	204	161	182	2480	0	927	249
OTU_14078	112	27	128	24	55	26	0	86	79	104	136	0	56	51	53	270	166	745	181	3	257	116	4	360	99	2	187	78	65	85	3	0	102	2	47	21	120	46	13	142	127	0	187	117	12	306	76	4	180	100	52	286	295	45	369	273	20	312	244	38	62	80	1	150	130	22	117	173	38	426	60	37	217	22	252	135	72	292	389	25	298	413	23	71	88	120	203	37	194	148	58	284	38	64	117	20	11	72	28	10
OTU_30240	27	7	82	18	22	13	7	52	3	55	15	920	23	249	0	89	67	0	14	2	27	8	9	53	20	9	20	7	70	230	13	5	192	5	77	24	83	48	9	0	19	0	28	22	17	120	47	4	64	21	22	566	112	42	232	11	0	35	6	5	97	11	2	0	13	3	0	3	5	2	19	10	160	11	1	307	270	604	96	126	135	87	72	420	337	953	117	73	117	48	243	77	146	141	189	199	145	564	1143	105
OTU_20501	59	11	376	741	19	44	21	5	2	5	12	772	4	65	68	5	3	1	4	863	8	10	190	219	298	18	1	4	118	133	5	602	322	23	186	13	75	34	37	0	37	0	138	30	5	503	380	61	106	65	6	30	50	32	24	16	5	25	17	5	85	157	52	4	16	2	18	12	8	30	13	8	128	94	44	78	37	27	45	8	31	32	13	126	187	7	41	15	96	23	32	41	23	33	57	79	0	13	11	21
OTU_4075	0	0	0	0	0	0	736	0	0	0	0	607	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	2952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
OTU_5241	22	4	13	2	3	0	1	0	0	1	2	1	2	1	0	24	8	2	25	0	1	2	7	0	0	9	0	0	141	192	7	0	230	15	131	30	206	103	75	3273	1981	100	126	37	11	71	36	3	41	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7289	26	10	24	26	19	39	1	27	3	1	1	13	61	5	13	2	8	34	28	0	25	33	2	10	24	0	26	14	38	60	0	0	13	1	222	14	7	13	2	0	26	0	69	30	8	44	88	3	97	454	10	27	1	5	15	3	11	1063	26	21	44	56	1	1	3	7	1	6	3	39	11	9	20	8	119	168	109	48	165	245	2303	412	117	918	612	136	81	129	52	150	56	89	128	76	127	100	4	15	16	4
OTU_6001	1189	87	270	242	253	1096	0	97	0	35	54	1	71	603	863	25	32	0	38	0	552	27	16	112	115	2	126	105	30	148	0	0	63	0	107	18	0	6	6	4	10	0	735	16	16	219	91	9	230	129	1	61	3	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	2	1	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0
OTU_11141	48	15	130	154	20	80	250	10	1	12	17	61	5	48	0	22	173	4	7	3	14	4	11	47	83	85	11	28	73	5	1097	4	6	11	15	10	5	51	2	0	0	0	4	3	0	68	122	2	11	91	342	0	7	26	52	19	0	0	18	34	28	273	18	0	12	21	0	16	38	93	164	18	27	213	0	0	16	36	12	20	7	21	26	41	347	11	9	21	13	10	64	52	118	17	15	354	31	0	0	1
OTU_9389	102	36	129	3447	65	41	0	10	1	5	5	3	12	11	9	5	16	0	4	0	34	15	0	44	281	1	13	8	13	10	0	0	7	1	15	2	8	10	1	0	3	0	22	10	6	114	556	4	16	22	3	4	234	9	7	8	10	48	3	6	24	25	0	0	8	2	19	19	4	6	4	4	14	9	1	455	6	2	15	3	52	8	2	22	27	2	12	2	37	15	3	1	5	2	3	10	27	58	1832	90
OTU_29730	53	25	132	103	19	120	93	12	1	12	6	57	10	49	0	18	118	4	4	0	15	11	9	51	44	46	7	24	61	12	1068	3	10	13	8	2	6	51	6	1	5	3	6	8	1	78	68	2	15	89	321	27	11	17	26	19	0	10	6	28	21	198	17	13	7	32	0	15	44	94	141	23	14	174	0	11	20	33	15	10	13	6	22	18	228	10	20	40	12	8	85	28	98	39	5	243	20	0	2	2
OTU_34157	37	41	86	78	35	69	436	61	13	24	14	161	23	47	0	60	132	0	34	92	23	15	60	31	43	40	27	22	99	191	185	279	99	11	75	18	89	91	56	8	31	8	42	59	52	112	126	14	84	51	213	29	14	26	219	36	0	23	14	25	63	95	12	6	6	25	0	17	27	45	54	44	80	91	0	20	26	143	34	35	11	17	17	70	114	25	20	35	10	8	63	29	38	46	41	114	152	0	42	15
OTU_4934	44	38	253	988	28	35	15	2	1	0	0	9	0	3	1	0	0	0	0	5	2	3	0	77	114	0	0	1	50	96	44	3490	113	61	73	19	19	35	19	0	48	0	68	36	12	337	423	116	75	23	3	1	1	3	1	2	4	1	0	0	2	0	0	0	2	1	0	3	1	3	1	1	9	5	0	0	1	1	0	5	0	0	0	0	2	2	0	1	0	0	0	0	0	1	13	4	0	0	0	0
OTU_30479	0	5	22	17	1	7	6	56	0	113	33	1770	49	520	0	37	138	0	26	1	38	13	12	51	53	6	27	12	65	176	1	2	284	4	119	42	42	63	34	0	19	15	51	24	17	69	64	5	54	26	18	304	20	39	119	1	0	29	5	4	46	9	1	6	2	2	0	6	15	9	9	5	109	2	1	112	185	342	59	61	75	60	46	195	179	372	44	45	59	45	152	46	95	87	138	113	37	219	114	38
OTU_25906	7	7	30	45	5	7	39	52	0	19	10	113	49	31	0	125	108	0	12	2	5	6	11	28	39	18	11	4	279	539	98	0	246	10	269	61	261	216	68	13	75	0	134	70	55	284	240	24	129	66	133	72	7	22	51	5	1	28	7	11	63	57	4	6	7	10	0	18	62	32	12	87	14	69	0	14	13	42	10	18	17	12	16	67	73	17	18	44	59	14	106	23	20	97	8	64	142	44	8	22
OTU_34225	31	23	131	116	28	98	200	12	1	13	12	24	6	50	0	15	143	1	11	0	8	11	13	44	42	55	10	19	104	3	55	1	8	8	1	8	0	48	4	1	0	0	2	3	1	66	77	0	9	83	308	0	6	22	41	33	0	0	9	32	21	251	8	3	10	27	0	13	53	98	163	25	31	1	1	0	16	43	37	24	9	13	20	23	294	11	15	28	12	13	87	47	132	30	14	339	22	0	1	1
