"","RDA1","RDA2"
"A1",0.0227707073128374,-0.0555503200647072
"A2",7.83662641218397e-06,-0.0919049090760881
"A3",0.0546924819695876,-0.0505921780896123
"A4",0.0399810667849612,-0.0709963069347497
"A5",0.00779326463930626,-0.0377547440086608
"A6",-0.0098695020362703,-0.0670785518445222
"A7",-0.0591231472560728,-0.1142394982487
"A8",-0.100341861552557,-0.0992886609738306
"A9",-0.0321855450455905,-0.147177035070275
"B1",0.0272476935172641,0.0242398849623597
"B2",0.131875865266219,0.0198595845145809
"B3",0.156717826040456,0.0688502300057779
"B4",0.172786176456528,0.0424510040887021
"B5",0.181258983700377,0.0357006964102073
"B6",0.13399684153603,0.059800000469225
"B7",0.247041497137418,0.00530243836146638
"B8",0.230052533455473,0.0192505956997434
"B9",0.163389878232799,0.0310945677435858
"C1",-0.116222294792243,0.0223004454106229
"C2",-0.22105062771009,0.0577986334756881
"C3",-0.210235970761475,0.0213440811012452
"C4",-0.200839042635231,0.0553144293959947
"C5",-0.0676377401428863,-0.00529704185158236
"C6",-0.214705257885933,0.0487522757769977
"C7",-0.0772716325554448,0.0350661594248526
"C8",-0.175523676726373,0.105180669581783
"C9",-0.0846063535755026,0.0875735497398956
