"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT","phylum","class","order","family","genus"
"Rubrivivax",-0.802231038301236,"nosig",0.208473230614235,-1.01913367397675,"nosig",0.105520456592971,-0.216902635675514,"nosig",0.710570224178599,5.47023835588127e-05,0.000111047497519329,0.00011141057937032,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Rubrivivax"
"Rubrobacter",-0.529199301029261,"nosig",0.180061476097983,-0.362689561227946,"nosig",0.361062500329087,0.166509739801315,"nosig",0.668885257033343,0.000462539689503359,0.000752148692194858,0.000576673161548224,"Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter"
"Rudaea",0.354664623993495,"nosig",0.750274406622789,-1.60184422771967,"nosig",0.136119237166321,-1.95650885171316,"nosig",0.0746014349211647,3.68244420692915e-05,3.07557828354855e-05,0.000117173432130384,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rudaea"
"Rudaibacter",3.14757059621404,"enriched",0.00347109837529621,1.19374522138386,"nosig",0.183605240614015,-1.95382537483018,"nosig",0.0854184359040638,6.67257557547852e-05,5.13816526394755e-06,2.69270861355639e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Rudaibacter"
"Saccharibacteria_genera_incertae_sedis",0.256024295751009,"nosig",0.654361236183141,0.736369891682364,"nosig",0.20490166295087,0.480345595931356,"nosig",0.409417781836847,0.000437581695836351,0.000427435213467078,0.000270073427252255,"Candidatus_Saccharibacteria","Unassigned","Unassigned","Unassigned","Saccharibacteria_genera_incertae_sedis"
"Saccharothrix",0.241793852754208,"nosig",0.653365575862187,0.343665414314843,"nosig",0.524317327860665,0.101871561560636,"nosig",0.85045098442976,0.00106174416029604,0.00101416093856738,0.000795092296889985,"Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Saccharothrix"
"Sandaracinus",0.655208031411852,"nosig",0.0185197997557772,-0.0114410124125441,"nosig",0.966613839434228,-0.666649043824396,"nosig",0.0165689957489379,0.002254043545069,0.00162601006039605,0.00226427740630325,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus"
"Schlegelella",0.050289528095394,"nosig",0.905000471644561,0.372916229723678,"nosig",0.381416628805931,0.322626701628284,"nosig",0.449093471662019,0.000630626087363827,0.000702484718674043,0.000487213657119753,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Schlegelella"
"Shimazuella",1.66718486615197,"nosig",0.178340408526234,-1.82798963551163,"nosig",0.114351212871261,-3.4951745016636,"nosig",0.00598474897422093,5.01572841136914e-05,1.54226359969499e-05,0.000184489019457674,"Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae_1","Shimazuella"
"Shinella",-1.19487221802215,"nosig",0.0723004686526756,-0.522828171812648,"nosig",0.431233409856511,0.672044046209502,"nosig",0.304759060706061,0.000341182404298703,0.000925817310833754,0.000478024031064776,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"Solirubrobacter",-0.445969131746905,"nosig",0.14911557433965,0.186902901403492,"nosig",0.548048347157932,0.632872033150397,"nosig",0.0415103387132117,0.00256205219893266,0.00393516815416507,0.00219007610520526,"Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"Sorangium",-0.993578130104309,"nosig",0.0383299544980823,0.187083681606622,"nosig",0.699288588208121,1.18066181171093,"nosig",0.0144273996257435,0.000710405203210003,0.00158972839558347,0.000618403367013357,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium"
