"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT","phylum","class","order","family","genus"
"Blastopirellula",-2.00278099178197,"depleted",0.00339171967753225,-0.911725474636978,"nosig",0.175721401908549,1.09105551714499,"nosig",0.0990446869102222,0.000303456053791795,0.0013966776396024,0.000560512850308452,"Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Blastopirellula"
"Bosea",1.11565897875768,"enriched",0.003662540761547,0.539371567334915,"nosig",0.155208187413311,-0.576287411422768,"nosig",0.131183692781451,0.00586725286179496,0.00316106225302854,0.00401951948920121,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea"
"Bradyrhizobium",0.174064421196563,"nosig",0.390489938049268,0.13168315185197,"nosig",0.515816257409017,-0.0423812693445931,"nosig",0.834433880116335,0.0199760722614832,0.0200026887784443,0.0179885054497692,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"Brevibacillus",2.9052195969143,"enriched",0.00285280480269313,3.73989212930002,"enriched",0.000245682978842017,0.834672532385717,"nosig",0.385403019739424,0.00099913355292541,0.000151727169789957,7.19085332287805e-05,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Brevibacillus"
"Brevundimonas",1.05034602589241,"enriched",0.00940924269803691,1.01340037306268,"nosig",0.0121365480738262,-0.0369456528297256,"nosig",0.927589841583089,0.00200648606685912,0.00112212705482673,0.00100809301111334,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Burkholderia",0.518669848767814,"nosig",0.17962590851961,-0.0624635814144822,"nosig",0.869450709421735,-0.581133430182296,"nosig",0.13269105551313,0.000861366512264448,0.000676595470577795,0.000870993494162186,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"Caenimonas",0.968924006624107,"nosig",0.0776064290018899,1.31594061675233,"nosig",0.0198701027027979,0.347016610128227,"nosig",0.560188181879978,0.000231141881371129,0.00013104373560825,8.9500022864053e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas"
"Catellatospora",-0.515016579034541,"nosig",0.156653392872521,-0.482868876615013,"nosig",0.184827604540985,0.0321477024195279,"nosig",0.928172714492112,0.000510560295224871,0.000819238327393224,0.000703179755248735,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Catellatospora"
"Catelliglobosispora",0.299155080431116,"nosig",0.562889683525606,0.279490124183859,"nosig",0.588803599950483,-0.0196649562472568,"nosig",0.970121419324635,0.00019386533512332,0.000175244928147772,0.000156909208944156,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Catelliglobosispora"
"Caulobacter",0.0418876202431973,"nosig",0.894311679130162,0.30043870067944,"nosig",0.343613416066696,0.258551080436243,"nosig",0.415061837555997,0.001876994711195,0.00208384916959198,0.00149581803652986,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Cedecea",-5.72694510646084,"depleted",6.88351529295973e-05,-1.90029404483949,"nosig",0.122604575438136,3.82665106162135,"enriched",0.00278532428891899,0,0.00020710676800147,8.82251618168038e-06,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cedecea"
"Cellulomonas",-1.44871498281728,"depleted",0.00490872419552757,-1.2321040109582,"nosig",0.0166118472587212,0.216610971859082,"nosig",0.661994737319585,0.000386544448759246,0.00116615324793553,0.000883334871793566,"Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Cellulomonas"
"Cellulosimicrobium",-0.301221981962994,"nosig",0.755487357587988,-0.499391373393758,"nosig",0.60518842798801,-0.198169391430764,"nosig",0.836237034273034,0.000132226022325419,0.000178957644277925,0.000179471726804392,"Actinobacteria","Actinobacteria","Actinomycetales","Promicromonosporaceae","Cellulosimicrobium"
"Cellvibrio",-1.76195641794044,"depleted",0.00697739329701913,-0.93528770185027,"nosig",0.146220620363418,0.826668716090166,"nosig",0.1930781287581,0.000578603281650535,0.00217167858205863,0.00110352685942937,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Cellvibrio"
"Chitinophaga",-3.96444471787866,"depleted",0.000385718235881809,-3.55166921675555,"depleted",0.00189166805244389,0.412775501123105,"nosig",0.587877831238666,0,5.46916868688761e-05,3.59204179477826e-05,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga"
"Chlamydophila",-1.58459354953808,"nosig",0.0724518752168656,-1.99961263549588,"nosig",0.023784891835531,-0.415019085957794,"nosig",0.618058985010212,7.84434267655368e-05,0.000261075987287582,0.000334352654829609,"Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydophila"
"Chryseobacterium",-0.497395929157785,"nosig",0.428016058629071,-0.360518182169545,"nosig",0.566198705542255,0.13687774698824,"nosig",0.825225103104297,0.000206765973599841,0.000330432814671365,0.000275093273503909,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium"
"Chryseolinea",-0.877508649670811,"nosig",0.0285321546678843,-0.997250298267186,"nosig",0.0125865970391665,-0.119741648596375,"nosig",0.756213270040658,0.000416880638230384,0.000851779581903057,0.000834188084719986,"Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea"
"Clostridium_III",-1.80481307394769,"nosig",0.0140395184072216,-0.231215369508247,"nosig",0.787027448010296,1.57359770443944,"nosig",0.0277962056352739,2.37932678698094e-05,0.000100365316931355,2.67631692693078e-05,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_III"
"Clostridium_sensu_stricto",0.828274121824482,"nosig",0.468427332471507,1.90323215511471,"nosig",0.10612085443653,1.07495803329023,"nosig",0.352403439311256,0.000741177746674465,0.00042898511086692,0.000179271373995867,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Clostridium_XI",-0.683204184443568,"nosig",0.352859772614849,0.31366332806888,"nosig",0.696129444725372,0.996867512512448,"nosig",0.189494767070757,4.14792151831737e-05,7.65139784930841e-05,3.13694824876978e-05,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium_XI"
"Cohnella",-0.438818476929672,"nosig",0.343424260698834,0.0095964525063967,"nosig",0.984067135652834,0.448414929436068,"nosig",0.333120311500861,0.000205277648996452,0.000319373606253201,0.000201452539287403,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Cohnella"
"Conexibacter",0.0847368364262008,"nosig",0.797161140001904,0.207098695001531,"nosig",0.531135088957614,0.12236185857533,"nosig",0.711618382183059,0.00179487466157981,0.00193385135697219,0.00152457443681472,"Actinobacteria","Actinobacteria","Solirubrobacterales","Conexibacteraceae","Conexibacter"
"Couchioplanes",0.00170551868299298,"nosig",0.997018596376177,-0.767051094874989,"nosig",0.0927398645553108,-0.768756613557982,"nosig",0.0919400316398355,0.00186106398684896,0.00208149384212422,0.0029757438545365,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Couchioplanes"
"Cryobacterium",-2.58948033150038,"depleted",0.000180753005088524,-0.956028593346244,"nosig",0.184976864020233,1.63345173815414,"nosig",0.0112738288736732,5.66935917183313e-05,0.000394397971745733,0.000107170689562923,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Cryobacterium"
"Cryptosporangium",-0.0624817967231865,"nosig",0.942801448809728,0.0678340178509556,"nosig",0.938588636859538,0.130315814574142,"nosig",0.881606234680304,0.000100020049844086,0.000122005387423313,9.40652266032783e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Cryptosporangiaceae","Cryptosporangium"
"Cupriavidus",0.394012534618407,"nosig",0.548499448230044,1.00463632506147,"nosig",0.13228707401455,0.610623790443067,"nosig",0.360161483963365,0.000591810295283262,0.000521958578041348,0.00030086113595671,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
"Cystobacter",-0.513538109099367,"nosig",0.193838007610005,-0.0568532743571808,"nosig",0.88726044717691,0.456684834742186,"nosig",0.24667725916578,0.000446947339064117,0.000692764737713984,0.000451469353801015,"Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter"
"Dactylosporangium",-0.504746920897669,"nosig",0.232003067393915,-0.942228513195301,"nosig",0.0258301974411203,-0.437481592297632,"nosig",0.294984366502745,0.00113833396167835,0.00179110424147271,0.00211765065381987,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Dactylosporangium"
"Devosia",1.00986528501437,"enriched",0.000639378466221016,0.906120839808577,"enriched",0.00213950165685067,-0.103744445205793,"nosig",0.724007547038374,0.0171130209365449,0.00980555448536742,0.00915496512652812,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia"
"Dongia",-0.691038813075858,"nosig",0.0197236919164234,-0.452595621232036,"nosig",0.126565828244816,0.238443191843823,"nosig",0.417469143024565,0.00327329483625957,0.00587488751065782,0.00438138912968466,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"Duganella",0.178741295379654,"nosig",0.823746266659621,-1.38780693903413,"nosig",0.0767310763044153,-1.56654823441379,"nosig",0.0470659567015578,0.000123652856894257,0.000123745230938159,0.000322818642526438,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"Ensifer",0.222715296471764,"nosig",0.4753597207915,0.367387063270866,"nosig",0.239717766794737,0.144671766799102,"nosig",0.643289007071677,0.00938693987242835,0.00924969299895223,0.00724261024980225,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer"
"Enterobacter",-2.57867707418252,"nosig",0.0191356838656308,1.87984680485024,"nosig",0.114875356523458,4.45852387903276,"enriched",0.00045060244261423,8.74752882310747e-06,7.68155654588509e-05,0,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter"
"Ferrovibrio",0.204956783030537,"nosig",0.559046204016797,-0.382890448880506,"nosig",0.262763456948336,-0.587847231911043,"nosig",0.0886559717858866,0.00054186855796912,0.000534495785487234,0.000707004657865189,"Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio"
"Fictibacillus",0.0159776257115829,"nosig",0.975771877086291,0.351842349982722,"nosig",0.518953355848802,0.33586472427114,"nosig",0.538236256218382,0.000116906835979059,0.000131265289350425,8.94340186326209e-05,"Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Fictibacillus"
"Flavobacterium",-0.0537714833406632,"nosig",0.909918406875837,-0.0654194402339367,"nosig",0.89051946376825,-0.0116479568932735,"nosig",0.980446159622469,0.0309593034176983,0.036641074931494,0.031989936725469,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Gaiella",-0.101849913145441,"nosig",0.672059701496917,-0.0934740647765205,"nosig",0.69777728094145,0.00837584836892001,"nosig",0.9721987182733,0.00455469640657531,0.00557244794963908,0.0047722888895285,"Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella"
"Geobacter",-0.875291226293506,"nosig",0.0149132187987974,-0.655067441463581,"nosig",0.0702142284657708,0.220223784829925,"nosig",0.528265487506191,0.000473637956547288,0.000977668581124469,0.000726970052985712,"Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"Geodermatophilus",-0.569327922642329,"nosig",0.290709994861596,-0.49283979515564,"nosig",0.365150662660824,0.076488127486689,"nosig",0.882234287343353,0.000100995650334346,0.000171835690570279,0.000138647450694111,"Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Geodermatophilus"
"Glycomyces",0.966918445536724,"nosig",0.0540141117386637,0.199823503786619,"nosig",0.682643186580644,-0.767094941750105,"nosig",0.127325254502399,0.000647866207483803,0.000360067401364662,0.000546017637662881,"Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Glycomyces"
"Gordonia",0.775453932224041,"nosig",0.292315835525511,1.09120785928075,"nosig",0.151743691085194,0.315753927056712,"nosig",0.697357840693384,7.05261218912196e-05,4.59450931915717e-05,3.14314901776195e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Gordonia"
"Gp10",-0.431535258346431,"nosig",0.249577528281323,-0.38019237747469,"nosig",0.310380703272958,0.0513428808717411,"nosig",0.890429194694012,0.00194572734924581,0.00297486078811868,0.0025816430682771,"Acidobacteria","Acidobacteria_Gp10","Unassigned","Unassigned","Gp10"
"Gp11",-4.5435119593611,"depleted",3.46401272682661e-05,-3.96802956118937,"depleted",0.000461662376974989,0.575482398171738,"nosig",0.42549925467051,0,8.54276722370955e-05,4.93569358260201e-05,"Acidobacteria","Acidobacteria_Gp11","Unassigned","Unassigned","Gp11"
"Gp17",-2.2173810059226,"depleted",5.64729891584423e-06,-1.70727263214603,"depleted",0.000458175585975367,0.510108373776579,"nosig",0.259500766276477,0.00024054487458557,0.00128922004508526,0.000783749221686821,"Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17"
"Gp25",-1.18604665343337,"nosig",0.0410854389765419,-0.521635420381626,"nosig",0.396068875559269,0.664411233051744,"nosig",0.227839085590139,6.07233584062617e-05,0.000156589957292634,8.47999072263629e-05,"Acidobacteria","Acidobacteria_Gp25","Unassigned","Unassigned","Gp25"
"Gp3",-0.44525999331078,"nosig",0.363365708768309,0.217432423281281,"nosig",0.667527320546022,0.66269241659206,"nosig",0.182128960451843,0.000215193260623141,0.00031759693473014,0.000179019272797895,"Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3"
"Gp5",-0.966736835100084,"nosig",0.0942118556785805,-0.618710110342256,"nosig",0.297404084334899,0.348026724757828,"nosig",0.522282998254611,6.48739734261739e-05,0.000141342049767712,9.855431826269e-05,"Acidobacteria","Acidobacteria_Gp5","Unassigned","Unassigned","Gp5"
"Gp6",-2.37114415760374,"depleted",1.39668173967025e-06,-1.65634815310948,"depleted",0.00066347701377719,0.714796004494257,"nosig",0.118990464402947,0.000330608587643104,0.00195765990468071,0.00103163264458777,"Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6"
"Gp7",-0.229658923074624,"nosig",0.742870235810499,-0.116373058296561,"nosig",0.868585405886679,0.113285864778063,"nosig",0.870624490177521,4.55763742350337e-05,6.03483402990442e-05,4.94207248616215e-05,"Acidobacteria","Acidobacteria_Gp7","Unassigned","Unassigned","Gp7"
"Gracilibacillus",1.70022175231406,"nosig",0.074738683786129,2.1849277377276,"nosig",0.0269821514652655,0.48470598541354,"nosig",0.634264242587016,0.000131643986923467,4.59341073342998e-05,2.69217154555793e-05,"Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Gracilibacillus"
"Haliangium",-1.88969087845056,"depleted",2.1059790817029e-06,-1.2689404483026,"depleted",0.00175462270911342,0.620750430147953,"nosig",0.0908465198913333,0.000212270906981166,0.000875546055336566,0.00049472768393688,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Hamadaea",-0.664820176604901,"nosig",0.352241839236192,-0.534050015562488,"nosig",0.456915803464315,0.130770161042412,"nosig",0.851370473257446,0.000106756937802485,0.000191084941667394,0.000152255208194205,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Hamadaea"
"Herpetosiphon",-0.510318303587792,"nosig",0.357562645765423,-1.35908363465174,"nosig",0.0156528152463532,-0.848765331063946,"nosig",0.126796082677691,0.0036702742010781,0.00605969765553012,0.0092648155877006,"Chloroflexi","Chloroflexia","Herpetosiphonales","Herpetosiphonaceae","Herpetosiphon"
"Hydrogenophaga",0.58482550616009,"nosig",0.335726466097632,0.937622443164849,"nosig",0.125071297024714,0.352796937004758,"nosig",0.561923223807635,0.00278234160756222,0.00212906813616856,0.00152677093158158,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"Hyphomicrobium",0.683003310815414,"nosig",0.0183260113694216,0.882211117535648,"enriched",0.00243404285556108,0.199207806720233,"nosig",0.493564497327819,0.00547517690489128,0.00388962263643763,0.0029270613452482,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"Hyphomonas",-0.261099111275647,"nosig",0.376905035413802,-0.241931030642261,"nosig",0.413068279669578,0.0191680806333855,"nosig",0.94799747841356,0.00155615693145026,0.0020867926353662,0.00181658133542976,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas"
"Iamia",0.0115394058438842,"nosig",0.977267220284738,0.0688694679939168,"nosig",0.865577807618421,0.0573300621500325,"nosig",0.888113242839064,0.000598354438644724,0.000670078545823112,0.000568997524055613,"Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Iamia"
"Ignavibacterium",-0.66658283933957,"nosig",0.39622200565608,0.453087281169545,"nosig",0.573684897882314,1.11967012050912,"nosig",0.161701791084883,0.000137276492569645,0.000222615327700005,9.89802260936175e-05,"Ignavibacteriae","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium"
"Ilumatobacter",-0.371540985780709,"nosig",0.187339026603727,0.0712998873415677,"nosig",0.803010518933212,0.442840873122277,"nosig",0.11723337129404,0.00110103997323954,0.0016050848854216,0.00102709196140174,"Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiaceae","Ilumatobacter"
"Inquilinus",-0.978059856376374,"nosig",0.179550933408803,-0.585312399504326,"nosig",0.432178977283707,0.392747456872047,"nosig",0.57111207452741,4.05928032623491e-05,9.09531732666024e-05,6.32223532146822e-05,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Inquilinus"
"Intrasporangium",1.02959027157047,"nosig",0.0490607997899703,0.267918578324802,"nosig",0.589524953573749,-0.761671693245673,"nosig",0.151390223927799,0.000242183292451199,0.000129890110201342,0.000196760679852948,"Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Intrasporangium"
"Kaistia",0.539687956260867,"nosig",0.394138420560076,1.76269708088578,"nosig",0.0156754149948316,1.22300912462491,"nosig",0.10965601375012,8.6500473035794e-05,6.50357815903437e-05,2.23106673252659e-05,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Kaistia"
"Kibdelosporangium",2.97291556985628,"enriched",0.000317164186962115,2.24043826700689,"enriched",0.00515073128728317,-0.732477302849388,"nosig",0.343914305551637,0.00814201742848356,0.00120602336039511,0.00175841749877371,"Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Kibdelosporangium"
"Kineosporia",-0.344160746358789,"nosig",0.419879776061528,-1.13170147279896,"nosig",0.00850489914483213,-0.787540726440176,"nosig",0.0650973657402196,0.00320944940174915,0.00443043253952795,0.00672967103194229,"Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","Kineosporia"
"Kinneretia",0.514408365403723,"nosig",0.0591813193185511,0.102868351310228,"nosig",0.704657650373988,-0.411540014093495,"nosig",0.13104145170645,0.00940312649400018,0.00744839494037982,0.00864225646312339,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Kinneretia"
"Kribbella",0.0682469867111199,"nosig",0.828794967576012,-0.632065842561061,"nosig",0.0451697272163414,-0.700312829272181,"nosig",0.0266675760023773,0.00486058836418115,0.00513401345019396,0.00719481811912352,"Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Kribbella"
"Labilithrix",-0.0451222615541928,"nosig",0.885322937606662,-0.280723530713743,"nosig",0.365865999524179,-0.23560126915955,"nosig",0.447181335754705,0.000848307784490277,0.000978539835966693,0.00100999271499203,"Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix"
"Lacibacter",-1.44717330252818,"nosig",0.0508434581980962,-1.63634796747299,"nosig",0.024752345595545,-0.189174664944811,"nosig",0.759299049875611,2.28861968063954e-05,7.54519018553378e-05,7.5879480750924e-05,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Lacibacter"
"Lechevalieria",0.246113000623884,"nosig",0.563888797052547,-0.476693445182145,"nosig",0.253946604648069,-0.722806445806029,"nosig",0.0866724557156123,0.000539082109434004,0.000506628827290923,0.000750729732634883,"Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lechevalieria"
"Lentzea",0.349598560042916,"nosig",0.175952513942961,-0.159931895325455,"nosig",0.535100175287306,-0.509530455368371,"nosig",0.0488090861794162,0.0291329374813582,0.0255071842290985,0.0317982746066442,"Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea"
"Leptospira",-3.16544172034908,"depleted",0.00688286800624935,-4.28834797010458,"depleted",0.000113862594029989,-1.1229062497555,"nosig",0.155240655790208,0,3.00256939932432e-05,6.28692445642887e-05,"Spirochaetes","Spirochaetia","Spirochaetales","Leptospiraceae","Leptospira"
"Luedemannella",0.215126529767154,"nosig",0.799060243743417,1.02762604998711,"nosig",0.267060848738584,0.81249952021996,"nosig",0.388444874393393,3.17503903302903e-05,3.02288719374309e-05,1.34172983262165e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Luedemannella"
"Luteolibacter",-1.61213762175385,"depleted",0.00666797842643933,-1.21543598333121,"nosig",0.0484907693142357,0.396701638422636,"nosig",0.449742355578833,4.48890286501762e-05,0.000167064039098602,0.00010666993003205,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter"
"Lutispora",0.373262672050889,"nosig",0.597380458376465,1.54961627994833,"nosig",0.0485566045036646,1.17635360789745,"nosig",0.141980708488868,8.85886129869867e-05,7.66192624355358e-05,2.68210667437056e-05,"Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Lutispora"
"Lysinibacillus",-2.02579804824535,"depleted",0.00288768432616689,0.00924262097074386,"nosig",0.9899299283971,2.0350406692161,"enriched",0.00276859653950178,9.06588345735753e-05,0.000447269593974857,8.96123139827287e-05,"Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"Lysobacter",0.190116036882426,"nosig",0.544987350592491,-0.342643219515088,"nosig",0.27471967200151,-0.532759256397514,"nosig",0.0901882438592022,0.00739373640220885,0.00745672657072297,0.00926968947042151,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"Mangrovibacterium",0,"nosig",1,-4.47019921012484,"depleted",0.00273658062394188,-4.47019921012484,"depleted",0.00266368256872109,0,0,7.74706295172213e-05,"Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Mangrovibacterium"
"Marmoricola",0.530986765861587,"nosig",0.208192506235265,0.461459566190588,"nosig",0.272956860437176,-0.0695271996709987,"nosig",0.870371316342116,0.000798571263979053,0.000624951600703777,0.00057943307555935,"Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Marmoricola"
"Massilia",1.16486335607044,"enriched",6.661463535492e-05,0.585266158220332,"nosig",0.0415947932572934,-0.579597197850108,"nosig",0.0469152350952608,0.00438666938403921,0.00217526073337363,0.00287537620713422,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"Mesorhizobium",0.464106656872816,"nosig",0.0638013910830722,0.174314150041932,"nosig",0.484018859084304,-0.289792506830884,"nosig",0.247611519053472,0.00470028720146835,0.00384560995808571,0.00412976333195592,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium"
"Methyloceanibacter",-0.0159930421076914,"nosig",0.955548166706395,0.232808142783613,"nosig",0.421477715216053,0.248801184891304,"nosig",0.389763373768031,0.00128061103754919,0.00148006325850889,0.00107191345626597,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Methyloceanibacter"
"Methylophilus",-0.697207010825848,"nosig",0.351478567999421,-1.34652738081781,"nosig",0.0604650902758348,-0.649320369991961,"nosig",0.331942532442232,3.54323736503751e-05,6.98538455940055e-05,9.87325547515583e-05,"Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylophilus"
"Methylotenera",0.593022110777375,"nosig",0.368581022028149,0.63309910366332,"nosig",0.337766056230942,0.0400769928859452,"nosig",0.951599172029909,0.0010769332699462,0.000845636288869965,0.000696727884786251,"Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera"
"Methyloversatilis",0.478067382596763,"nosig",0.534472866870123,-1.21099109561593,"nosig",0.0680758400757104,-1.68905847821269,"nosig",0.0154703474478986,4.48760869075863e-05,3.53628996795e-05,0.000107145637310938,"Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis"
"Methylovorus",-0.397848527899966,"nosig",0.451929937874544,-0.986277314031664,"nosig",0.0524809154372437,-0.588428786131698,"nosig",0.230565046495312,0.000102245495979615,0.000155947447999743,0.000205145077536082,"Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylovorus"
"Microbacterium",0.0140554208478806,"nosig",0.975940616241483,0.0430765875427341,"nosig",0.9263923309312,0.0290211666948536,"nosig",0.950354224500117,0.000635940047847942,0.000706364885220606,0.000610089938572651,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium"
"Micromonospora",-0.672151719244409,"nosig",0.0249682766881887,-0.00176402494383866,"nosig",0.995332491585734,0.67038769430057,"nosig",0.0253443911524112,0.00193911344352553,0.00343701352107745,0.00190831243487142,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Micromonospora"
"Microvirga",-0.396064105025396,"nosig",0.248799055597131,0.218397766364664,"nosig",0.530801859538462,0.614461871390059,"nosig",0.0757036614046831,0.00103666600458321,0.00153084127169362,0.000867451924669084,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga"
"Mycobacterium",0.214910125978699,"nosig",0.526748648660352,0.157944839199549,"nosig",0.641530931394176,-0.0569652867791497,"nosig",0.866898515631156,0.00314778965332901,0.00301532717736172,0.0027865241109997,"Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium"
"Nannocystis",-0.520121628093099,"nosig",0.15059038306719,-0.82667726119983,"nosig",0.0208316452171787,-0.306555633106731,"nosig",0.37701497851449,0.000370290201584549,0.000595200716317932,0.000643361405656279,"Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis"
"Neochlamydia",-1.19248444972101,"nosig",0.191993411518514,-1.22168687668577,"nosig",0.181712917535732,-0.029202426964758,"nosig",0.971409620543532,1.4239913107814e-05,4.08809227172406e-05,3.58490943798378e-05,"Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"Niastella",-2.18606782095023,"depleted",3.70485348996899e-08,-2.15213218616154,"depleted",5.85056830773206e-08,0.0339356347886954,"nosig",0.92713672987087,0.000644853876050637,0.00317286028227318,0.00277251318205882,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella"
"Nitrososphaera",-1.60111135123114,"nosig",0.0453182894632272,-1.54014492888708,"nosig",0.0564046353851055,0.0609664223440529,"nosig",0.927749123647803,1.88522464872707e-05,7.14976601085296e-05,5.83620507606461e-05,"Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera"
