"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT","phylum","class","order","family","genus","species"
"ASV_2539",0.86942663089436,"nosig",0.458833351189196,0.219212769809468,"nosig",0.848091711552008,-0.650213861084891,"nosig",0.582924198159561,5.07356671740233e-05,3.09368386515747e-05,4.00838678968696e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Nonomuraea","Nonomuraea_salmonea"
"ASV_1493",2.14148943320703,"nosig",0.0470600407128899,1.1884231673667,"nosig",0.250350500717843,-0.953066265840334,"nosig",0.378271412355872,0.000129780988495726,3.57721191085525e-05,5.74611290673034e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Nonomuraea","Nonomuraea_jabiensis"
"ASV_1087",0.00420161889399859,"nosig",0.99547541183339,0.0626059651544078,"nosig",0.934326437152141,0.0584043462604092,"nosig",0.938383462949746,9.4518196693681e-05,0.000115560053953556,9.9646639418233e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Unassigned","Unassigned"
"ASV_2789",-1.33983546424096,"nosig",0.114643409636326,-0.393730951505894,"nosig",0.668027797674391,0.946104512735065,"nosig",0.243940475124428,2.31608444931492e-05,7.49051027134889e-05,3.13033132387803e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Nonomuraea","Unassigned"
"ASV_8",-0.631380804698361,"nosig",0.110642153948335,-0.57727048189287,"nosig",0.14446689652959,0.0541103228054909,"nosig",0.890740414903505,0.0116165304924124,0.0211682480187984,0.0177470867081166,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_174",-1.9741904671147,"nosig",0.0223014163169469,-3.48257440464659,"depleted",0.000124455296716329,-1.50838393753189,"nosig",0.0697869059325015,0.000161132908280277,0.000749268623330499,0.00185928088660569,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_208",-0.452511743179726,"nosig",0.481174756272856,-1.28604548493231,"nosig",0.0463330364461404,-0.833533741752583,"nosig",0.18974552654062,0.000408650881632832,0.000673389603106559,0.00100051041408075,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_716",-2.66555284962598,"nosig",0.00772484338669034,-3.08767106205678,"depleted",0.00211515729711675,-0.422118212430799,"nosig",0.626960773131296,2.31312366455933e-05,0.000192330778963255,0.000225293738741629,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1181",-0.0447375843873548,"nosig",0.957129423194793,-1.30169707347015,"nosig",0.107641525127869,-1.2569594890828,"nosig",0.115556356291908,5.8721263714774e-05,7.50273265540188e-05,0.000156952874362758,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1312",0.260776432573432,"nosig",0.802561050477015,-1.80068012301707,"nosig",0.0761754471439495,-2.0614565555905,"nosig",0.0438959571982651,4.48491766051423e-05,4.5066023727492e-05,0.000164907377532287,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1464",-1.07066187653439,"nosig",0.121008619641844,-1.44310511743529,"nosig",0.0320753929905266,-0.372443240900894,"nosig",0.532926476698125,3.67295579603401e-05,9.56292375088626e-05,0.000107535215613157,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1703",-0.647458637907755,"nosig",0.443774437807393,-1.71025975730387,"nosig",0.0348476039654366,-1.06280111939612,"nosig",0.164717591142722,3.56343146208261e-05,7.0761879550088e-05,0.000135293010892377,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1667",0.410948039395285,"nosig",0.614036931192868,1.67861189674216,"nosig",0.059402016605139,1.26766385734688,"nosig",0.15834091025542,8.86371274026997e-05,7.92122890677388e-05,2.63042062445413e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1225",-3.11112739761797,"nosig",0.0117873402023887,-2.49429931873393,"nosig",0.041289328126507,0.616828078884042,"nosig",0.570539550437613,1.36345098893179e-05,0.000160170901721546,9.96554845456803e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_lincolnensis"
