"","ID","i","index","Group"
"sample1436","sample14",108100,10631,"Group3"
"sample1536","sample15",108100,10001,"Group3"
"sample1636","sample16",108100,10303,"Group3"
"sample1736","sample17",108100,10644,"Group3"
"sample1836","sample18",108100,10426,"Group3"
"sample236","sample2",108100,5480,"Group1"
"sample336","sample3",108100,6104,"Group1"
"sample436","sample4",108100,8741,"Group1"
"sample536","sample5",108100,10027,"Group1"
"sample636","sample6",108100,5983,"Group1"
"sample736","sample7",108100,4607,"Group2"
"sample836","sample8",108100,7869,"Group2"
"sample936","sample9",108100,5294,"Group2"
"sample1143","sample1",111100,7888,"Group1"
"sample1037","sample10",111100,7149,"Group2"
"sample1144","sample11",111100,6895,"Group2"
"sample1238","sample12",111100,8840,"Group2"
"sample1337","sample13",111100,10120,"Group3"
"sample1437","sample14",111100,10747,"Group3"
"sample1537","sample15",111100,10058,"Group3"
"sample1637","sample16",111100,10364,"Group3"
"sample1737","sample17",111100,10703,"Group3"
"sample1837","sample18",111100,10527,"Group3"
"sample237","sample2",111100,5473,"Group1"
"sample337","sample3",111100,6123,"Group1"
"sample437","sample4",111100,8804,"Group1"
"sample537","sample5",111100,10155,"Group1"
"sample637","sample6",111100,5985,"Group1"
"sample737","sample7",111100,4620,"Group2"
"sample837","sample8",111100,7919,"Group2"
"sample937","sample9",111100,5313,"Group2"
"sample1145","sample1",114100,7961,"Group1"
"sample1038","sample10",114100,7153,"Group2"
"sample1146","sample11",114100,6907,"Group2"
"sample1239","sample12",114100,8902,"Group2"
"sample1338","sample13",114100,10141,"Group3"
"sample1438","sample14",114100,10822,"Group3"
"sample1538","sample15",114100,10120,"Group3"
"sample1638","sample16",114100,10459,"Group3"
"sample1738","sample17",114100,10770,"Group3"
"sample1838","sample18",114100,10541,"Group3"
"sample238","sample2",114100,5502,"Group1"
"sample338","sample3",114100,6141,"Group1"
"sample438","sample4",114100,8873,"Group1"
"sample538","sample5",114100,10179,"Group1"
"sample638","sample6",114100,6032,"Group1"
"sample738","sample7",114100,4618,"Group2"
"sample838","sample8",114100,7968,"Group2"
"sample938","sample9",114100,5338,"Group2"
"sample1147","sample1",117100,7974,"Group1"
"sample1039","sample10",117100,7193,"Group2"
"sample1148","sample11",117100,6948,"Group2"
"sample1240","sample12",117100,8933,"Group2"
"sample1339","sample13",117100,10199,"Group3"
"sample1439","sample14",117100,10881,"Group3"
"sample1539","sample15",117100,10224,"Group3"
"sample1639","sample16",117100,10495,"Group3"
"sample1739","sample17",117100,10866,"Group3"
"sample1839","sample18",117100,10639,"Group3"
"sample239","sample2",117100,5540,"Group1"
"sample339","sample3",117100,6151,"Group1"
"sample439","sample4",117100,8936,"Group1"
"sample539","sample5",117100,10254,"Group1"
"sample639","sample6",117100,6048,"Group1"
"sample739","sample7",117100,4619,"Group2"
"sample839","sample8",117100,7996,"Group2"
"sample939","sample9",117100,5344,"Group2"
"sample1149","sample1",120100,8046,"Group1"
"sample1040","sample10",120100,7238,"Group2"
"sample1150","sample11",120100,6965,"Group2"
"sample1241","sample12",120100,8944,"Group2"
"sample1340","sample13",120100,10267,"Group3"
"sample1440","sample14",120100,10969,"Group3"
"sample1540","sample15",120100,10249,"Group3"
"sample1640","sample16",120100,10512,"Group3"
"sample1740","sample17",120100,10895,"Group3"
"sample1840","sample18",120100,10677,"Group3"
"sample240","sample2",120100,5531,"Group1"
"sample340","sample3",120100,6128,"Group1"
"sample440","sample4",120100,8896,"Group1"
"sample540","sample5",120100,10275,"Group1"
"sample640","sample6",120100,6064,"Group1"
"sample740","sample7",120100,4642,"Group2"
"sample840","sample8",120100,8041,"Group2"
"sample940","sample9",120100,5390,"Group2"
"sample1151","sample1",123100,8084,"Group1"
"sample1041","sample10",123100,7269,"Group2"
"sample1152","sample11",123100,6987,"Group2"
"sample1242","sample12",123100,8973,"Group2"
"sample1341","sample13",123100,10389,"Group3"
"sample1441","sample14",123100,11068,"Group3"
"sample1541","sample15",123100,10337,"Group3"
"sample1641","sample16",123100,10642,"Group3"
"sample1741","sample17",123100,10974,"Group3"
"sample1841","sample18",123100,10744,"Group3"
"sample241","sample2",123100,5554,"Group1"
"sample341","sample3",123100,6189,"Group1"
"sample441","sample4",123100,8944,"Group1"
"sample541","sample5",123100,10397,"Group1"
"sample641","sample6",123100,6073,"Group1"
"sample741","sample7",123100,4647,"Group2"
"sample841","sample8",123100,8007,"Group2"
"sample941","sample9",123100,5398,"Group2"
"sample1153","sample1",126100,8079,"Group1"
"sample1042","sample10",126100,7288,"Group2"
"sample1154","sample11",126100,7019,"Group2"
"sample1243","sample12",126100,8983,"Group2"
"sample1342","sample13",126100,10382,"Group3"
"sample1442","sample14",126100,11098,"Group3"
"sample1542","sample15",126100,10421,"Group3"
"sample1642","sample16",126100,10709,"Group3"
"sample1742","sample17",126100,11015,"Group3"
"sample1842","sample18",126100,10852,"Group3"
"sample242","sample2",126100,5599,"Group1"
"sample342","sample3",126100,6194,"Group1"
"sample442","sample4",126100,9011,"Group1"
"sample542","sample5",126100,10445,"Group1"
"sample642","sample6",126100,6114,"Group1"
"sample742","sample7",126100,4676,"Group2"
"sample842","sample8",126100,8058,"Group2"
"sample942","sample9",126100,5424,"Group2"
"sample1155","sample1",129100,8129,"Group1"
"sample1043","sample10",129100,7326,"Group2"
"sample1156","sample11",129100,7088,"Group2"
"sample1244","sample12",129100,9126,"Group2"
"sample1343","sample13",129100,10444,"Group3"
"sample1443","sample14",129100,11226,"Group3"
"sample1543","sample15",129100,10445,"Group3"
"sample1643","sample16",129100,10774,"Group3"
"sample1743","sample17",129100,11180,"Group3"
"sample1843","sample18",129100,10893,"Group3"
"sample243","sample2",129100,5614,"Group1"
"sample343","sample3",129100,6214,"Group1"
"sample443","sample4",129100,9038,"Group1"
"sample543","sample5",129100,10429,"Group1"
"sample643","sample6",129100,6092,"Group1"
"sample743","sample7",129100,4682,"Group2"
"sample843","sample8",129100,8127,"Group2"
"sample943","sample9",129100,5419,"Group2"
"sample1157","sample1",132100,8138,"Group1"
"sample1044","sample10",132100,7359,"Group2"
"sample1158","sample11",132100,7084,"Group2"
"sample1245","sample12",132100,9125,"Group2"
"sample1344","sample13",132100,10489,"Group3"
"sample1444","sample14",132100,11227,"Group3"
"sample1544","sample15",132100,10488,"Group3"
"sample1644","sample16",132100,10799,"Group3"
"sample1744","sample17",132100,11138,"Group3"
"sample1844","sample18",132100,10994,"Group3"
"sample244","sample2",132100,5622,"Group1"
"sample344","sample3",132100,6221,"Group1"
"sample444","sample4",132100,9073,"Group1"
"sample544","sample5",132100,10550,"Group1"
"sample644","sample6",132100,6115,"Group1"
"sample744","sample7",132100,4689,"Group2"
"sample844","sample8",132100,8147,"Group2"
"sample944","sample9",132100,5426,"Group2"
"sample1159","sample1",135100,8169,"Group1"
"sample1045","sample10",135100,7359,"Group2"
"sample1160","sample11",135100,7087,"Group2"
"sample1246","sample12",135100,9176,"Group2"
"sample1345","sample13",135100,10535,"Group3"
"sample1445","sample14",135100,11284,"Group3"
"sample1545","sample15",135100,10556,"Group3"
"sample1645","sample16",135100,10898,"Group3"
"sample1745","sample17",135100,11211,"Group3"
"sample1845","sample18",135100,10993,"Group3"
"sample245","sample2",135100,5619,"Group1"
"sample345","sample3",135100,6249,"Group1"
"sample445","sample4",135100,9140,"Group1"
"sample545","sample5",135100,10553,"Group1"
"sample645","sample6",135100,6114,"Group1"
"sample745","sample7",135100,4701,"Group2"
"sample845","sample8",135100,8194,"Group2"
"sample945","sample9",135100,5458,"Group2"
"sample1161","sample1",138100,8198,"Group1"
"sample1046","sample10",138100,7423,"Group2"
"sample1162","sample11",138100,7136,"Group2"
"sample1247","sample12",138100,9185,"Group2"
"sample1346","sample13",138100,10598,"Group3"
"sample1446","sample14",138100,11362,"Group3"
"sample1546","sample15",138100,10620,"Group3"
"sample1646","sample16",138100,10916,"Group3"
"sample1746","sample17",138100,11284,"Group3"
"sample1846","sample18",138100,11027,"Group3"
"sample246","sample2",138100,5607,"Group1"
"sample346","sample3",138100,6261,"Group1"
"sample446","sample4",138100,9134,"Group1"
"sample546","sample5",138100,10621,"Group1"
"sample646","sample6",138100,6145,"Group1"
"sample746","sample7",138100,4718,"Group2"
"sample846","sample8",138100,8222,"Group2"
"sample946","sample9",138100,5487,"Group2"
"sample1163","sample1",141100,8219,"Group1"
"sample1047","sample10",141100,7403,"Group2"
"sample1164","sample11",141100,7155,"Group2"
"sample1248","sample12",141100,9206,"Group2"
"sample1347","sample13",141100,10641,"Group3"
"sample1447","sample14",141100,11412,"Group3"
"sample1547","sample15",141100,10697,"Group3"
"sample1647","sample16",141100,11009,"Group3"
"sample1747","sample17",141100,11290,"Group3"
"sample1847","sample18",141100,11122,"Group3"
"sample247","sample2",141100,5628,"Group1"
"sample347","sample3",141100,6267,"Group1"
"sample447","sample4",141100,9148,"Group1"
"sample547","sample5",141100,10681,"Group1"
"sample647","sample6",141100,6122,"Group1"
"sample747","sample7",141100,4725,"Group2"
"sample847","sample8",141100,8237,"Group2"
"sample947","sample9",141100,5507,"Group2"
"sample1165","sample1",144100,8268,"Group1"
"sample1048","sample10",144100,7421,"Group2"
"sample1166","sample11",144100,7169,"Group2"
"sample1249","sample12",144100,9291,"Group2"
"sample1348","sample13",144100,10702,"Group3"
"sample1448","sample14",144100,11498,"Group3"
"sample1548","sample15",144100,10736,"Group3"
"sample1648","sample16",144100,11039,"Group3"
"sample1748","sample17",144100,11380,"Group3"
"sample1848","sample18",144100,11192,"Group3"
"sample248","sample2",144100,5646,"Group1"
"sample348","sample3",144100,6282,"Group1"
"sample448","sample4",144100,9243,"Group1"
"sample548","sample5",144100,10709,"Group1"
"sample648","sample6",144100,6160,"Group1"
"sample748","sample7",144100,4737,"Group2"
"sample848","sample8",144100,8214,"Group2"
"sample948","sample9",144100,5515,"Group2"
"sample1167","sample1",147100,8301,"Group1"
"sample1049","sample10",147100,7451,"Group2"
"sample1168","sample11",147100,7192,"Group2"
"sample1250","sample12",147100,9301,"Group2"
"sample1349","sample13",147100,10716,"Group3"
"sample1449","sample14",147100,11509,"Group3"
"sample1549","sample15",147100,10772,"Group3"
"sample1649","sample16",147100,11097,"Group3"
"sample1749","sample17",147100,11444,"Group3"
"sample1849","sample18",147100,11267,"Group3"
"sample249","sample2",147100,5656,"Group1"
"sample349","sample3",147100,6295,"Group1"
"sample449","sample4",147100,9258,"Group1"
"sample549","sample5",147100,10795,"Group1"
"sample649","sample6",147100,6189,"Group1"
"sample749","sample7",147100,4744,"Group2"
"sample849","sample8",147100,8270,"Group2"
"sample949","sample9",147100,5533,"Group2"
"sample1169","sample1",150100,8339,"Group1"
"sample1050","sample10",150100,7463,"Group2"
"sample1170","sample11",150100,7217,"Group2"
"sample1251","sample12",150100,9347,"Group2"
"sample1350","sample13",150100,10777,"Group3"
"sample1450","sample14",150100,11570,"Group3"
"sample1550","sample15",150100,10842,"Group3"
"sample1650","sample16",150100,11149,"Group3"
"sample1750","sample17",150100,11470,"Group3"
"sample1850","sample18",150100,11293,"Group3"
"sample250","sample2",150100,5662,"Group1"
"sample350","sample3",150100,6313,"Group1"
"sample450","sample4",150100,9248,"Group1"
"sample550","sample5",150100,10800,"Group1"
"sample650","sample6",150100,6204,"Group1"
"sample750","sample7",150100,4757,"Group2"
"sample850","sample8",150100,8333,"Group2"
"sample950","sample9",150100,5534,"Group2"
"sample1171","sample1",153100,8335,"Group1"
"sample1051","sample10",153100,7483,"Group2"
"sample1172","sample11",153100,7221,"Group2"
"sample1252","sample12",153100,9364,"Group2"
"sample1351","sample13",153100,10824,"Group3"
"sample1451","sample14",153100,11640,"Group3"
"sample1551","sample15",153100,10874,"Group3"
"sample1651","sample16",153100,11190,"Group3"
"sample1751","sample17",153100,11563,"Group3"
"sample1851","sample18",153100,11303,"Group3"
"sample251","sample2",153100,5678,"Group1"
"sample451","sample4",153100,9270,"Group1"
"sample551","sample5",153100,10851,"Group1"
"sample651","sample6",153100,6203,"Group1"
"sample751","sample7",153100,4774,"Group2"
"sample851","sample8",153100,8335,"Group2"
"sample951","sample9",153100,5557,"Group2"
"sample1173","sample1",156100,8344,"Group1"
"sample1052","sample10",156100,7511,"Group2"
"sample1174","sample11",156100,7241,"Group2"
"sample1253","sample12",156100,9380,"Group2"
"sample1352","sample13",156100,10873,"Group3"
"sample1452","sample14",156100,11684,"Group3"
"sample1552","sample15",156100,10890,"Group3"
"sample1652","sample16",156100,11254,"Group3"
"sample1752","sample17",156100,11572,"Group3"
"sample1852","sample18",156100,11418,"Group3"
"sample252","sample2",156100,5705,"Group1"
"sample452","sample4",156100,9320,"Group1"
"sample552","sample5",156100,10888,"Group1"
"sample652","sample6",156100,6210,"Group1"
"sample752","sample7",156100,4760,"Group2"
"sample852","sample8",156100,8333,"Group2"
"sample952","sample9",156100,5561,"Group2"
"sample1175","sample1",159100,8401,"Group1"
"sample1053","sample10",159100,7518,"Group2"
"sample1176","sample11",159100,7262,"Group2"
"sample1254","sample12",159100,9409,"Group2"
"sample1353","sample13",159100,10877,"Group3"
"sample1553","sample15",159100,10972,"Group3"
"sample1753","sample17",159100,11677,"Group3"
"sample1853","sample18",159100,11430,"Group3"
"sample253","sample2",159100,5703,"Group1"
"sample453","sample4",159100,9328,"Group1"
"sample553","sample5",159100,10925,"Group1"
"sample653","sample6",159100,6240,"Group1"
"sample753","sample7",159100,4788,"Group2"
"sample853","sample8",159100,8364,"Group2"
"sample953","sample9",159100,5568,"Group2"
"sample1177","sample1",162100,8374,"Group1"
"sample1054","sample10",162100,7547,"Group2"
"sample1178","sample11",162100,7288,"Group2"
"sample1255","sample12",162100,9399,"Group2"
"sample1354","sample13",162100,10944,"Group3"
"sample1554","sample15",162100,11019,"Group3"
"sample1754","sample17",162100,11699,"Group3"
"sample1854","sample18",162100,11474,"Group3"
"sample254","sample2",162100,5730,"Group1"
"sample454","sample4",162100,9367,"Group1"
"sample554","sample5",162100,10991,"Group1"
"sample654","sample6",162100,6231,"Group1"
"sample754","sample7",162100,4794,"Group2"
"sample854","sample8",162100,8408,"Group2"
"sample954","sample9",162100,5585,"Group2"
"sample1179","sample1",165100,8421,"Group1"
"sample1180","sample11",165100,7333,"Group2"
"sample1256","sample12",165100,9491,"Group2"
"sample1355","sample13",165100,10936,"Group3"
"sample1555","sample15",165100,11061,"Group3"
"sample1755","sample17",165100,11698,"Group3"
"sample1855","sample18",165100,11540,"Group3"
"sample255","sample2",165100,5726,"Group1"
"sample455","sample4",165100,9383,"Group1"
"sample555","sample5",165100,10977,"Group1"
"sample655","sample6",165100,6235,"Group1"
"sample755","sample7",165100,4793,"Group2"
"sample855","sample8",165100,8419,"Group2"
"sample955","sample9",165100,5614,"Group2"
"sample1181","sample1",168100,8464,"Group1"
"sample1182","sample11",168100,7304,"Group2"
"sample1257","sample12",168100,9495,"Group2"
"sample1356","sample13",168100,11019,"Group3"
"sample1556","sample15",168100,11092,"Group3"
"sample1756","sample17",168100,11798,"Group3"
"sample1856","sample18",168100,11607,"Group3"
"sample256","sample2",168100,5731,"Group1"
"sample456","sample4",168100,9390,"Group1"
"sample556","sample5",168100,11055,"Group1"
"sample656","sample6",168100,6279,"Group1"
"sample756","sample7",168100,4807,"Group2"
"sample856","sample8",168100,8458,"Group2"
"sample956","sample9",168100,5616,"Group2"
"sample1183","sample1",171100,8467,"Group1"
"sample1184","sample11",171100,7369,"Group2"
"sample1258","sample12",171100,9530,"Group2"
"sample1357","sample13",171100,10986,"Group3"
"sample1557","sample15",171100,11140,"Group3"
"sample1757","sample17",171100,11857,"Group3"
"sample1857","sample18",171100,11619,"Group3"
"sample257","sample2",171100,5740,"Group1"
"sample457","sample4",171100,9439,"Group1"
"sample557","sample5",171100,11059,"Group1"
"sample657","sample6",171100,6269,"Group1"
"sample757","sample7",171100,4814,"Group2"
"sample857","sample8",171100,8458,"Group2"
"sample957","sample9",171100,5630,"Group2"
"sample1185","sample1",174100,8482,"Group1"
"sample1186","sample11",174100,7366,"Group2"
"sample1259","sample12",174100,9546,"Group2"
"sample1358","sample13",174100,11083,"Group3"
"sample1558","sample15",174100,11176,"Group3"
"sample1758","sample17",174100,11904,"Group3"
"sample1858","sample18",174100,11631,"Group3"
"sample258","sample2",174100,5750,"Group1"
"sample458","sample4",174100,9486,"Group1"
"sample558","sample5",174100,11114,"Group1"
"sample658","sample6",174100,6283,"Group1"
"sample758","sample7",174100,4823,"Group2"
"sample858","sample8",174100,8487,"Group2"
"sample958","sample9",174100,5636,"Group2"
"sample1187","sample1",177100,8513,"Group1"
"sample1188","sample11",177100,7399,"Group2"
"sample1260","sample12",177100,9568,"Group2"
"sample1359","sample13",177100,11126,"Group3"
"sample1559","sample15",177100,11203,"Group3"
"sample1759","sample17",177100,11938,"Group3"
"sample1859","sample18",177100,11697,"Group3"
"sample259","sample2",177100,5768,"Group1"
"sample459","sample4",177100,9483,"Group1"
"sample559","sample5",177100,11145,"Group1"
"sample659","sample6",177100,6289,"Group1"
"sample859","sample8",177100,8484,"Group2"
"sample959","sample9",177100,5653,"Group2"
"sample1189","sample1",180100,8549,"Group1"
"sample1190","sample11",180100,7387,"Group2"
"sample1261","sample12",180100,9580,"Group2"
"sample1360","sample13",180100,11139,"Group3"
"sample1560","sample15",180100,11245,"Group3"
"sample1760","sample17",180100,12002,"Group3"
"sample1860","sample18",180100,11674,"Group3"
"sample260","sample2",180100,5789,"Group1"
"sample460","sample4",180100,9503,"Group1"
"sample560","sample5",180100,11167,"Group1"
"sample660","sample6",180100,6312,"Group1"
"sample860","sample8",180100,8496,"Group2"
"sample960","sample9",180100,5659,"Group2"
"sample1191","sample1",183100,8554,"Group1"
"sample1192","sample11",183100,7415,"Group2"
"sample1262","sample12",183100,9630,"Group2"
"sample1361","sample13",183100,11173,"Group3"
"sample1761","sample17",183100,12028,"Group3"
"sample1861","sample18",183100,11767,"Group3"
"sample261","sample2",183100,5785,"Group1"
"sample461","sample4",183100,9512,"Group1"
"sample561","sample5",183100,11223,"Group1"
"sample661","sample6",183100,6283,"Group1"
"sample861","sample8",183100,8524,"Group2"
"sample1193","sample1",186100,8564,"Group1"
"sample1194","sample11",186100,7431,"Group2"
"sample1263","sample12",186100,9646,"Group2"
"sample1362","sample13",186100,11210,"Group3"
"sample1762","sample17",186100,12059,"Group3"
"sample1862","sample18",186100,11790,"Group3"
"sample262","sample2",186100,5790,"Group1"
"sample462","sample4",186100,9532,"Group1"
"sample562","sample5",186100,11231,"Group1"
"sample662","sample6",186100,6304,"Group1"
"sample862","sample8",186100,8569,"Group2"
"sample1195","sample1",189100,8590,"Group1"
"sample1196","sample11",189100,7436,"Group2"
"sample1264","sample12",189100,9659,"Group2"
"sample1363","sample13",189100,11244,"Group3"
"sample1763","sample17",189100,12101,"Group3"
"sample1863","sample18",189100,11812,"Group3"
"sample263","sample2",189100,5814,"Group1"
"sample463","sample4",189100,9564,"Group1"
"sample563","sample5",189100,11250,"Group1"
"sample663","sample6",189100,6335,"Group1"
"sample863","sample8",189100,8581,"Group2"
"sample1197","sample1",192100,8607,"Group1"
"sample1198","sample11",192100,7452,"Group2"
"sample1265","sample12",192100,9672,"Group2"
"sample1364","sample13",192100,11262,"Group3"
"sample1764","sample17",192100,12149,"Group3"
"sample1864","sample18",192100,11859,"Group3"
"sample264","sample2",192100,5829,"Group1"
"sample464","sample4",192100,9564,"Group1"
"sample564","sample5",192100,11309,"Group1"
"sample664","sample6",192100,6329,"Group1"
"sample864","sample8",192100,8578,"Group2"
"sample1199","sample1",195100,8624,"Group1"
"sample11100","sample11",195100,7469,"Group2"
"sample1266","sample12",195100,9706,"Group2"
"sample1365","sample13",195100,11301,"Group3"
"sample1765","sample17",195100,12175,"Group3"
"sample1865","sample18",195100,11884,"Group3"
"sample265","sample2",195100,5819,"Group1"
"sample465","sample4",195100,9583,"Group1"
"sample565","sample5",195100,11332,"Group1"
"sample665","sample6",195100,6345,"Group1"
"sample865","sample8",195100,8599,"Group2"
"sample1200","sample1",198100,8637,"Group1"
"sample11101","sample11",198100,7486,"Group2"
"sample1267","sample12",198100,9699,"Group2"
"sample1366","sample13",198100,11309,"Group3"
"sample1766","sample17",198100,12215,"Group3"
"sample1866","sample18",198100,11931,"Group3"
"sample266","sample2",198100,5825,"Group1"
"sample466","sample4",198100,9611,"Group1"
"sample566","sample5",198100,11351,"Group1"
"sample666","sample6",198100,6346,"Group1"
"sample866","sample8",198100,8592,"Group2"
"sample11102","sample11",201100,7490,"Group2"
"sample1268","sample12",201100,9740,"Group2"
"sample1367","sample13",201100,11337,"Group3"
"sample1767","sample17",201100,12245,"Group3"
"sample1867","sample18",201100,11982,"Group3"
"sample267","sample2",201100,5832,"Group1"
"sample467","sample4",201100,9637,"Group1"
"sample567","sample5",201100,11398,"Group1"
"sample667","sample6",201100,6337,"Group1"
"sample867","sample8",201100,8625,"Group2"
"sample11103","sample11",204100,7519,"Group2"
"sample1269","sample12",204100,9758,"Group2"
"sample1368","sample13",204100,11368,"Group3"
"sample1868","sample18",204100,12008,"Group3"
"sample268","sample2",204100,5841,"Group1"
"sample468","sample4",204100,9636,"Group1"
"sample568","sample5",204100,11396,"Group1"
"sample668","sample6",204100,6362,"Group1"
"sample868","sample8",204100,8647,"Group2"
"sample11104","sample11",207100,7534,"Group2"
"sample1369","sample13",207100,11389,"Group3"
"sample1869","sample18",207100,12041,"Group3"
"sample269","sample2",207100,5858,"Group1"
"sample469","sample4",207100,9670,"Group1"
"sample569","sample5",207100,11456,"Group1"
"sample669","sample6",207100,6382,"Group1"
"sample869","sample8",207100,8647,"Group2"
"sample11105","sample11",210100,7547,"Group2"
"sample1370","sample13",210100,11424,"Group3"
"sample1870","sample18",210100,12069,"Group3"
"sample270","sample2",210100,5860,"Group1"
"sample470","sample4",210100,9690,"Group1"
"sample570","sample5",210100,11470,"Group1"
"sample670","sample6",210100,6374,"Group1"
"sample870","sample8",210100,8674,"Group2"
"sample11106","sample11",213100,7555,"Group2"
"sample271","sample2",213100,5874,"Group1"
"sample471","sample4",213100,9702,"Group1"
"sample571","sample5",213100,11479,"Group1"
"sample671","sample6",213100,6381,"Group1"
"sample871","sample8",213100,8695,"Group2"
"sample11107","sample11",216100,7566,"Group2"
"sample272","sample2",216100,5870,"Group1"
"sample472","sample4",216100,9723,"Group1"
"sample572","sample5",216100,11517,"Group1"
"sample672","sample6",216100,6410,"Group1"
"sample872","sample8",216100,8704,"Group2"
"sample273","sample2",219100,5883,"Group1"
"sample473","sample4",219100,9735,"Group1"
"sample573","sample5",219100,11540,"Group1"
"sample673","sample6",219100,6415,"Group1"
"sample873","sample8",219100,8724,"Group2"
"sample274","sample2",222100,5893,"Group1"
"sample474","sample4",222100,9748,"Group1"
"sample574","sample5",222100,11552,"Group1"
"sample674","sample6",222100,6409,"Group1"
"sample874","sample8",222100,8731,"Group2"
"sample275","sample2",225100,5900,"Group1"
"sample575","sample5",225100,11585,"Group1"
"sample675","sample6",225100,6427,"Group1"
"sample276","sample2",228100,5899,"Group1"
"sample676","sample6",228100,6438,"Group1"
"sample277","sample2",231100,5913,"Group1"
"sample677","sample6",231100,6448,"Group1"
"sample678","sample6",234100,6435,"Group1"
"sample679","sample6",237100,6451,"Group1"
"sample680","sample6",240100,6457,"Group1"
"sample681","sample6",243100,6458,"Group1"
"sample682","sample6",246100,6474,"Group1"
"sample683","sample6",249100,6481,"Group1"
"sample684","sample6",252100,6498,"Group1"
"sample685","sample6",255100,6496,"Group1"
"sample686","sample6",258100,6499,"Group1"
"sample687","sample6",261100,6509,"Group1"
"sample688","sample6",264100,6517,"Group1"
