"","Row.names","ID","AA","Group","Shannon","Inv_Simpson","Pielou_evenness","Simpson_evenness","Richness","Chao1","ACE"
"1","sample1","sample1","Group1","Group1",7.68443507665423,658.259670230005,0.856968899446298,0.0839616926313782,7840,8439.20598388953,8351.72655279947
"2","sample10","sample10","Group2","Group2",7.53743544919352,436.246669575527,0.851088151798475,0.0621611099423663,7018,7399.19879518072,7320.77976889554
"3","sample11","sample11","Group2","Group2",7.46753608079762,482.904378289787,0.845257535816535,0.0703122274737605,6868,7293.70682730924,7245.31621304589
"4","sample12","sample12","Group2","Group2",7.6854009502633,452.536866205801,0.846388199717439,0.0515417843058999,8780,9518.61449275362,9410.89154792688
"5","sample13","sample13","Group3","Group3",7.92886508945387,900.128749443259,0.860613641168142,0.0897704946088819,10027,11091.4767964072,10990.6488594558
"6","sample14","sample14","Group3","Group3",7.93404913288297,834.708756716099,0.858106388167515,0.0805470188860464,10363,11354.4792207792,11383.1507092958
"7","sample15","sample15","Group3","Group3",7.90158612805648,878.095535458377,0.858982550845082,0.0888311113260877,9885,10926.3892961877,10881.8530083098
"8","sample16","sample16","Group3","Group3",7.86563420338081,812.723592686104,0.854409455263165,0.0816315380359686,9956,10959.5258019526,10948.28365321
"9","sample17","sample17","Group3","Group3",7.94386915280036,884.957351539783,0.85807344254612,0.0843941780983962,10486,11637.8827361564,11626.4344221288
"10","sample18","sample18","Group3","Group3",7.92987191353602,867.024237981223,0.857368704975179,0.0834078151016087,10395,11612.2480053191,11574.8491712842
"11","sample2","sample2","Group1","Group1",7.59086424994634,735.804401675733,0.881061503481858,0.133370382757972,5517,5805.73333333333,5689.91693556687
"12","sample3","sample3","Group1","Group1",7.67279718310175,687.782853948407,0.881844837923731,0.114477838540014,6008,6233.96858638743,6168.70881207971
"13","sample4","sample4","Group1","Group1",7.90039492283065,905.682556105376,0.870043522065919,0.103129418823204,8782,9491.97905759162,9360.00697510014
"14","sample5","sample5","Group1","Group1",7.96024800302576,896.161842076186,0.863284637055282,0.088676216314683,10106,11107.4127691166,11030.1753181331
"15","sample6","sample6","Group1","Group1",7.59561608325496,595.898356211136,0.872607741424148,0.0988222812953791,6030,6329.45185185185,6231.00183198307
"16","sample7","sample7","Group2","Group2",7.24555147275498,377.616535401137,0.859707663550431,0.082575231883039,4573,4739.05785123967,4687.77857967312
"17","sample8","sample8","Group2","Group2",7.41523641090265,184.880640913066,0.826070745024358,0.0233582616441019,7915,8499.04852071006,8386.3747815278
"18","sample9","sample9","Group2","Group2",6.8612708845812,79.3590265343887,0.801150922180532,0.0151419627045199,5241,5507,5442.7406293082
