"source","target","correlation","direct","cor"
"Bacillus","Microascus",-0.708978328173375,"undirected","-"
"Cupriavidus","Microascus",0.702786377708978,"undirected","+"
"Dokdonella","Microascus",0.690402476780186,"undirected","+"
"Flavisolibacter","Microascus",0.810113519091847,"undirected","+"
"Gaiella","Microascus",-0.711042311661507,"undirected","-"
"Geobacter","Microascus",0.700722394220846,"undirected","+"
"Gp13","Microascus",-0.706914344685243,"undirected","-"
"Gp6","Microascus",0.680082559339525,"undirected","+"
"Pedobacter","Microascus",0.717736867511896,"undirected","+"
"Pseudogulbenkiania","Microascus",-0.692466460268318,"undirected","-"
"Rhodanobacter","Microascus",0.905056759545924,"undirected","+"
"Rudaea","Microascus",0.760577915376677,"undirected","+"
"Sphingobium","Microascus",-0.680082559339525,"undirected","-"
"Sphingomonas","Microascus",-0.686274509803922,"undirected","-"
"Thiobacillus","Microascus",0.775025799793602,"undirected","+"
"Dokdonella","Mortierella",0.675954592363261,"undirected","+"
"Flavisolibacter","Mortierella",0.775025799793602,"undirected","+"
"Gaiella","Mortierella",-0.729618163054696,"undirected","-"
"Gp6","Mortierella",0.79360165118679,"undirected","+"
"Rudaea","Mortierella",0.73374613003096,"undirected","+"
"Sphingobium","Mortierella",-0.70485036119711,"undirected","-"
"Hydrogonium","Rhodanobacter",0.686274509803922,"undirected","+"
"Microascus","Rhodanobacter",0.905056759545924,"undirected","+"
"Sagenomella","Rhodanobacter",0.684210526315789,"undirected","+"
"Hydrogonium","Rudaea",0.708978328173375,"undirected","+"
"Microascus","Rudaea",0.760577915376677,"undirected","+"
"Mortierella","Rudaea",0.73374613003096,"undirected","+"
"Hydrogonium","Gaiella",-0.690402476780186,"undirected","-"
"Microascus","Gaiella",-0.711042311661507,"undirected","-"
"Mortierella","Gaiella",-0.729618163054696,"undirected","-"
"Microascus","Sphingobium",-0.680082559339525,"undirected","-"
"Mortierella","Sphingobium",-0.70485036119711,"undirected","-"
"Microascus","Dokdonella",0.690402476780186,"undirected","+"
"Mortierella","Dokdonella",0.675954592363261,"undirected","+"
"Microascus","Gp6",0.680082559339525,"undirected","+"
"Mortierella","Gp6",0.79360165118679,"undirected","+"
"Microascus","Thiobacillus",0.775025799793602,"undirected","+"
"Microascus","Geobacter",0.700722394220846,"undirected","+"
"Chondromyces","Hydrogonium",0.680082559339525,"undirected","+"
"Gaiella","Hydrogonium",-0.690402476780186,"undirected","-"
"Gp2","Hydrogonium",0.700722394220846,"undirected","+"
"Pseudomonas","Hydrogonium",-0.803921568627451,"undirected","-"
"Rhodanobacter","Hydrogonium",0.686274509803922,"undirected","+"
"Rudaea","Hydrogonium",0.708978328173375,"undirected","+"
"Sediminibacterium","Hydrogonium",0.746515329219855,"undirected","+"
"Spartobacteria_genera_incertae_sedis","Hydrogonium",0.760577915376677,"undirected","+"
"Hydrogonium","Pseudomonas",-0.803921568627451,"undirected","-"
"Hydrogonium","Sediminibacterium",0.746515329219855,"undirected","+"
"Hydrogonium","Spartobacteria_genera_incertae_sedis",0.760577915376677,"undirected","+"
"Hydrogonium","Chondromyces",0.680082559339525,"undirected","+"
"Burkholderia","Conlarium",-0.727554179566563,"undirected","-"
"Crenobacter","Conlarium",-0.696594427244582,"undirected","-"
"Flavisolibacter","Conlarium",0.684210526315789,"undirected","+"
"Gemmatimonas","Conlarium",0.74406604747162,"undirected","+"
"Gp13","Conlarium",-0.700722394220846,"undirected","-"
"Gp4","Conlarium",0.752321981424149,"undirected","+"
"Rhodoplanes","Conlarium",0.706914344685243,"undirected","+"
"Conlarium","Flavisolibacter",0.684210526315789,"undirected","+"
"Microascus","Flavisolibacter",0.810113519091847,"undirected","+"
"Mortierella","Flavisolibacter",0.775025799793602,"undirected","+"
"Vorticella","Flavisolibacter",0.748194014447884,"undirected","+"
"Flavisolibacter","Vorticella",0.748194014447884,"undirected","+"
"Povalibacter","Vorticella",0.713106295149639,"undirected","+"
"Conlarium","Crenobacter",-0.696594427244582,"undirected","-"
"Conlarium","Gemmatimonas",0.74406604747162,"undirected","+"
"Conlarium","Gp4",0.752321981424149,"undirected","+"
"Conlarium","Rhodoplanes",0.706914344685243,"undirected","+"
"Vorticella","Povalibacter",0.713106295149639,"undirected","+"
"Acidocella","Arcopilus",0.706914344685243,"undirected","+"
"Candidatus_Solibacter","Arcopilus",0.73374613003096,"undirected","+"
"Haliangium","Arcopilus",-0.696594427244582,"undirected","-"
"Nitrosopumilus","Arcopilus",-0.700722394220846,"undirected","-"
"Pseudogulbenkiania","Arcopilus",0.762641898864809,"undirected","+"
"Acidocella","Humicola",0.73374613003096,"undirected","+"
"Aquicella","Humicola",-0.682498800296437,"undirected","-"
"Bacillus","Humicola",0.690402476780186,"undirected","+"
"Burkholderia","Humicola",0.750257997936017,"undirected","+"
