"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
5,0.0906200317965024,182.245608015173,5
5,0.0906200317965024,157.746684474945,5
1,0.0841949778434269,0,1
1,0.0841949778434269,0,1
3,0.0870229007633588,106.552108036891,3
4,0.0951585976627713,249.175741649655,4
5,0.0906200317965024,148.900448585231,5
15,0.0991304347826087,708.098650624738,15
1,0.0188305252725471,0,1
1,0.0188305252725471,0,1
3,0.0188554416142904,7,3
7,0.0917874396135266,233.48152065326,7
8,0.0909090909090909,231.66966873706,8
1,0.0175438596491228,0,1
1,0.0852017937219731,0,1
4,0.0942148760330579,187.451882055143,4
1,0.0852017937219731,0,1
3,0.0945273631840796,159.393832737311,3
1,0.0852017937219731,0,1
1,0.0852017937219731,0,1
2,0.0920840064620355,38.4857142857143,2
3,0.0932896890343699,76.6968003011481,3
1,0.0810810810810811,0,1
6,0.0906200317965024,44.8128019323672,6
2,0.0875576036866359,48,2
3,0.088646967340591,73.8785714285714,3
5,0.0914927768860353,118.758902691511,5
1,0.0844444444444444,0,1
3,0.0948419301164725,141.13115942029,3
3,0.0939044481054366,68.317972607103,3
1,0.0844444444444444,0,1
1,0.0844444444444444,0,1
2,0.0917874396135266,4.33562271062271,2
2,0.0926829268292683,22.3968003011481,2
1,0.0914927768860353,0,1
2,0.0813124108416548,48,2
1,0.0880989180834621,0,1
1,0.0841949778434269,0,1
2,0.08649468892261,12.5521080368906,2
1,0.0841949778434269,0,1
1,0.0841949778434269,0,1
2,0.0935960591133005,110.682395141091,2
3,0.0188554416142904,7,3
2,0.0878274268104777,54.9600732600733,2
1,0.0844444444444444,0,1
1,0.0175438596491228,0,1
3,0.0870229007633588,49.2857142857143,3
1,0.0188305252725471,0,1
2,0.0917874396135266,4.33562271062271,2
3,0.0939044481054366,68.317972607103,3
1,0.0914927768860353,0,1
1,0.0824891461649783,0,1
1,0.0188305252725471,0,1
2,0.0917874396135266,4.33562271062271,2
1,0.0841949778434269,0,1
1,0.0849478390461997,0,1
1,0.0815450643776824,0,1
1,0.0761014686248331,0,1
