"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Boothiomyces",0.454903994108959,-9.85914329968353,"Boothiomyces","fun","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Terramycetaceae","Boothiomyces","fun",0,0,0,0
"Botryotrichum",2.19621562329046,-11.5015227352353,"Botryotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","fun",0,0,0,0
"Bourletiella",-6.55884361973827,11.5682504534876,"Bourletiella","fun","Metazoa","Arthropoda","Collembola","Unassigned","Bourletiellidae","Bourletiella","fun",0,0,0,0
"Bradyrhizobium",13.6623547357455,-2.46680045525136,"Bradyrhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","bac",3,0.0188554416142904,7,3
"Bryum",-8.14460611240804,10.1016971977835,"Bryum","fun","Viridiplantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Bryum","fun",0,0,0,0
"Burkholderia",2.1138766073782,13.222294379888,"Burkholderia","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","bac",2,0.0878274268104777,54.9600732600733,2
"Candidatus_Solibacter",4.90343668952488,14.1945438540134,"Candidatus_Solibacter","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Candidatus_Solibacter","bac",1,0.0841949778434269,0,1
"Chaetomium",-9.84714832789325,11.5830170301317,"Chaetomium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","fun",0,0,0,0
"Chlamydomonas",-11.5921107696711,8.57594202255248,"Chlamydomonas","fun","Viridiplantae","Chlorophyta","Unassigned","Unassigned","Unassigned","Chlamydomonas","fun",0,0,0,0
"Chondromyces",1.22309329584528,0.805121574309896,"Chondromyces","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces","bac",1,0.0844444444444444,0,1
"Chryseolinea",-12.3975642909038,5.19383656852041,"Chryseolinea","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea","bac",0,0,0,0
"Chrysosporium",-8.15259809300734,-1.13383768033701,"Chrysosporium","fun","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Chrysosporium","fun",1,0.0175438596491228,0,1
"Coelastrella",-12.4895915350942,1.7183618013491,"Coelastrella","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrella","fun",0,0,0,0
"Colletotrichum",-6.07387418017685,13.9122603073281,"Colletotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","fun",0,0,0,0
"Conlarium",-5.94940493041611,6.25702252817093,"Conlarium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Conlarium","fun",7,0.0917874396135266,233.48152065326,7
"Conocybe",3.90936949130342,-4.82782315979518,"Conocybe","fun","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","fun",3,0.0870229007633588,49.2857142857143,3
"Corynascella",-8.31689841232958,14.3766361436883,"Corynascella","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Corynascella","fun",0,0,0,0
"Crenobacter",-5.94873674832657,1.82146324040398,"Crenobacter","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Crenobacter","bac",1,0.0852017937219731,0,1
"Criconemoides",-5.68659526436788,15.2181166886446,"Criconemoides","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Criconematidae","Criconemoides","fun",0,0,0,0
"Cupriavidus",7.60851094682229,-6.68981910219073,"Cupriavidus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","bac",2,0.0920840064620355,38.4857142857143,2
"Cylindrocarpon",-6.71947738989989,15.6724228191397,"Cylindrocarpon","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon","fun",0,0,0,0
"Cyrtohymena",-5.71489116609747,17.1969525931491,"Cyrtohymena","fun","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Cyrtohymena","fun",0,0,0,0
"Cystobacter",-0.733441161030242,-12.0345135607295,"Cystobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter","bac",0,0,0,0
"Devosia",10.5742088112139,-2.42176309242573,"Devosia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","bac",1,0.0188305252725471,0,1
"Dokdonella",13.3967690824289,6.35789596077256,"Dokdonella","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","bac",2,0.0917874396135266,4.33562271062271,2
"Dongia",-4.7925648332716,-10.7293630102908,"Dongia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","bac",0,0,0,0
"Exophiala",-3.10221783689751,-12.8656473436566,"Exophiala","fun","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","fun",0,0,0,0
"Flavisolibacter",-7.51224569370201,4.21307445702688,"Flavisolibacter","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter","bac",4,0.0942148760330579,187.451882055143,4
"Flavitalea",5.32058477658925,-12.152853595624,"Flavitalea","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","bac",0,0,0,0
"Fusarium",7.95865406991174,-11.0551494093247,"Fusarium","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","fun",0,0,0,0
"Fusicolla",9.47412888776206,-9.40729240588475,"Fusicolla","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","fun",0,0,0,0
"Gaiella",8.8645598080046,8.73291646558244,"Gaiella","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","bac",3,0.0939044481054366,68.317972607103,3
